Player Number,Height (cm),Weight (kg)
456,182.88,77.1
457,182.88,62.1
458,190.5,88
459,185.42,74.8
460,187.96,89.8
461,154.94,76.2
462,175.26,69.9
463,187.96,83
464,152.4,67.1
465,175.26,68.9
466,187.96,83.9
467,170.18,73.9
468,182.88,77.1
469,182.88,82.1
470,182.88,83
471,175.26,72.1
472,187.96,83.9
473,175.26,68
474,152.4,64.9
475,182.88,77.1
476,172.72,69.9
477,172.72,68.9
478,187.96,74.8
479,175.26,64.9
480,175.26,73.9
481,152.4,69.9
482,175.26,71.2
483,172.72,78
484,182.88,81.2
485,185.42,83
486,182.88,79.8
487,190.5,86.2
488,152.4,74.8
489,187.96,76.2
490,182.88,74.8
491,182.88,79.8
492,172.72,68
493,175.26,64
494,182.88,72.1
495,175.26,72.1
496,170.18,62.1
497,175.26,71.2
498,154.94,74.8
499,182.88,78
500,152.4,73.9
501,170.18,68.9
502,187.96,74.8
503,175.26,67.1
504,154.94,83.9
505,152.4,69.9
506,187.96,78.9
507,182.88,78.9
508,182.88,78
509,182.88,81.2
510,170.18,66.2
511,167.64,64.9
512,154.94,71.2
513,193.04,87.1
514,152.4,69.9
515,170.18,63
516,172.72,66.2
517,182.88,73.9
518,190.5,78
519,154.94,73.9
520,154.94,73
521,152.4,78.9
522,182.88,76.2
523,175.26,74.8
524,185.42,83.9
525,182.88,74.8
526,175.26,73.9
527,182.88,79.8
528,152.4,78
529,154.94,79.8
530,175.26,69.9
531,170.18,60.8
532,182.88,73
533,182.88,67.1
534,187.96,73.9
535,187.96,86.2
536,152.4,73.9
537,175.26,71.2
538,190.5,79.8
539,175.26,72.1
540,182.88,79.8
541,170.18,69.9
542,182.88,81.2
543,182.88,83
544,172.72,73
545,172.72,69.9
546,182.88,83
547,190.5,82.1
548,172.72,73
549,190.5,77.1
550,175.26,72.1
551,175.26,69.9
552,190.5,86.2
553,175.26,68
554,187.96,78
555,195.58,93.9
556,152.4,73
557,175.26,71.2
558,170.18,64
559,154.94,78
560,185.42,86.2
561,152.4,64.9
562,154.94,82.1
563,175.26,66.2
564,154.94,77.1
565,185.42,81.2
566,175.26,69.9
567,182.88,76.2
568,187.96,82.1
569,154.94,69.9
570,182.88,78
571,193.04,78.9
572,170.18,69.9
573,152.4,78.9
574,175.26,69.9
575,154.94,68
576,152.4,69.9
577,175.26,77.1
578,193.04,88
579,152.4,76.2
580,165.1,64.9
581,154.94,74.8
582,187.96,87.1
583,152.4,68
584,170.18,67.1
585,185.42,87.1
586,190.5,83.9
587,170.18,66.2
588,182.88,79.8
589,190.5,81.2
590,190.5,76.2
591,152.4,69.9
592,152.4,78
593,175.26,66.2
594,152.4,73.9
595,182.88,78.9
596,175.26,71.2
597,187.96,81.2
598,154.94,76.2
599,195.58,92.1
600,170.18,68
601,175.26,69.9
602,187.96,83
603,193.04,89.8
604,185.42,86.2
605,185.42,74.8
606,154.94,88.9
607,154.94,78.9
608,182.88,77.1
609,182.88,77.1
610,182.88,74.8
611,152.4,71.2
612,190.5,91.2
613,152.4,72.1
614,185.42,74.8
615,172.72,73.9
616,170.18,62.1
617,152.4,62.1
618,187.96,73
619,187.96,82.1
620,167.64,64
621,185.42,78
622,182.88,77.1
623,152.4,73.9
624,190.5,77.1
625,182.88,64.9
626,182.88,78
627,167.64,67.1
628,187.96,84.8
629,185.42,76.2
630,154.94,73.9
631,175.26,72.1
632,182.88,82.1
633,195.58,78.9
634,185.42,91.2
635,175.26,68.9
636,172.72,68
637,182.88,74.8
638,152.4,64
639,175.26,64.9
640,175.26,69.9
641,152.4,73.9
642,182.88,88.9
643,154.94,81.2
644,185.42,69.9
645,190.5,83
646,170.18,69.9
647,154.94,68
648,190.5,86.2
649,187.96,79.8
650,170.18,62.1
651,185.42,87.1
652,175.26,68
653,152.4,83
654,182.88,77.1
655,154.94,73.9
656,195.58,93
657,152.4,83
658,152.4,72.1
659,175.26,67.1
660,154.94,71.2
661,175.26,71.2
662,154.94,66.2
663,175.26,64.9
664,175.26,67.1
665,152.4,68.9
666,152.4,68.9
667,187.96,81.2
668,152.4,74.8
669,154.94,76.2
670,187.96,79.8
671,152.4,73.9
672,154.94,76.2
673,154.94,73
674,152.4,74.8
675,182.88,79.8
676,175.26,71.2
677,190.5,83
678,182.88,78
679,185.42,82.1
680,182.88,79.8
681,190.5,79.8
682,185.42,78.9
683,154.94,74.8
684,193.04,88
685,185.42,82.1
686,185.42,78
687,170.18,73.9
688,182.88,82.1
689,187.96,82.1
690,154.94,82.1
691,187.96,74.8
692,185.42,88
693,185.42,78
694,175.26,76.2
695,193.04,91.2
696,185.42,78
697,154.94,68
698,170.18,71.2
699,172.72,69.9
700,152.4,69.9
701,190.5,84.8
702,182.88,82.1
703,154.94,78.9
704,193.04,96.2
705,152.4,73
706,190.5,87.1
707,187.96,82.1
708,154.94,78
709,170.18,62.1
710,170.18,68.9
711,152.4,78
712,185.42,84.8
713,190.5,82.1
714,154.94,64.9
715,152.4,73
716,175.26,63
717,175.26,66.2
718,187.96,78
719,152.4,68
720,182.88,77.1
721,182.88,76.2
722,193.04,89.8
723,185.42,84.8
724,175.26,64.9
725,172.72,64
726,190.5,92.1
727,187.96,88
728,152.4,73
729,175.26,66.2
730,175.26,74.8
731,175.26,72.1
732,175.26,69.9
733,154.94,73
734,152.4,74.8
735,152.4,77.1
736,175.26,69.9
737,182.88,82.1
738,185.42,78.9
739,170.18,73.9
740,187.96,78
741,152.4,74.8
742,152.4,66.2
743,154.94,69.9
744,182.88,78.9
745,185.42,78
746,190.5,82.1
747,182.88,73.9
748,172.72,64.9
749,182.88,79.8
750,154.94,66.2
751,154.94,64
752,152.4,74.8
753,185.42,71.2
754,170.18,64
755,170.18,69.9
756,187.96,82.1
757,190.5,82.1
758,182.88,71.2
759,175.26,71.2
760,187.96,79.8
761,187.96,79.8
762,170.18,67.1
763,187.96,77.1
764,175.26,69.9
765,193.04,83.9
766,154.94,74.8
767,152.4,68
768,154.94,69.9
769,190.5,91.2
770,190.5,74.8
771,175.26,67.1
772,187.96,74.8
773,167.64,63
774,175.26,72.1
775,185.42,81.2
776,182.88,78.9
777,182.88,78.9
778,198.12,91.2
779,152.4,78
780,182.88,73.9
781,152.4,78
782,198.12,84.8
783,175.26,74.8
784,187.96,73.9
785,187.96,83.9
786,154.94,73.9
787,190.5,69.9
788,182.88,78
789,187.96,74.8
790,185.42,69.9
791,182.88,73
792,175.26,73
793,185.42,82.1
794,185.42,86.2
795,185.42,73
796,175.26,71.2
797,172.72,73
798,190.5,79.8
799,187.96,83
800,190.5,87.1
801,193.04,88
802,152.4,73
803,152.4,72.1
804,187.96,88
805,175.26,68.9
806,175.26,73.9
807,187.96,76.2
808,152.4,71.2
809,154.94,78
810,182.88,72.1
811,190.5,83.9
812,187.96,69.9
813,152.4,68
814,187.96,81.2
815,185.42,82.1
816,187.96,79.8
817,175.26,73
818,152.4,71.2
819,152.4,64.9
820,187.96,86.2
821,187.96,82.1
822,167.64,64.9
823,172.72,74.8
824,187.96,79.8
825,187.96,73.9
826,187.96,82.1
827,182.88,89.8
828,175.26,68
829,175.26,72.1
830,187.96,79.8
831,187.96,83.9
832,190.5,84.8
833,172.72,66.2
834,175.26,64
835,172.72,64
836,190.5,82.1
837,175.26,74.8
838,187.96,68.9
839,152.4,72.1
840,154.94,82.1
841,152.4,66.2
842,193.04,88.9
843,185.42,79.8
844,172.72,67.1
845,185.42,83
846,152.4,73.9
847,172.72,64
848,185.42,74.8
849,187.96,81.2
850,175.26,71.2
851,182.88,79.8
852,152.4,73.9
853,172.72,69.9
854,152.4,79.8
855,175.26,68
856,195.58,92.1
857,175.26,66.2
858,187.96,78
859,167.64,62.1
860,182.88,69.9
861,152.4,78
862,170.18,66.2
863,175.26,72.1
864,190.5,78
865,182.88,73.9
866,187.96,78
867,154.94,68
868,154.94,69.9
869,182.88,84.8
870,172.72,64
871,182.88,73.9
872,175.26,73.9
873,185.42,86.2
874,182.88,78
875,175.26,69.9
876,172.72,74.8
877,152.4,74.8
878,175.26,74.8
879,152.4,68.9
880,182.88,78.9
881,170.18,60.8
882,193.04,84.8
883,175.26,76.2
884,170.18,68.9
885,187.96,88
886,170.18,58.1
887,185.42,78
888,187.96,79.8
889,175.26,69.9
890,165.1,67.1
891,175.26,68.9
892,182.88,83
893,154.94,79.8
894,175.26,74.8
895,172.72,63
896,187.96,88
897,172.72,72.1
898,185.42,82.1
899,152.4,67.1
900,185.42,79.8
901,175.26,68.9
902,187.96,77.1
903,187.96,83
904,193.04,88
905,175.26,71.2
906,175.26,68.9
907,175.26,74.8
908,167.64,71.2
909,170.18,67.1
910,187.96,88.9
911,154.94,71.2
912,152.4,67.1
913,154.94,73
914,182.88,73
915,175.26,76.2
916,187.96,83.9
917,152.4,78
918,175.26,72.1
919,190.5,88.9
920,167.64,59
921,182.88,78
922,167.64,64
923,187.96,88
924,187.96,73.9
925,182.88,77.1
926,193.04,86.2
927,182.88,76.2
928,154.94,77.1
929,154.94,67.1
930,152.4,73
931,154.94,67.1
932,187.96,79.8
933,154.94,83
934,193.04,88.9
935,154.94,81.2
936,182.88,81.2
937,152.4,78
938,190.5,82.1
939,185.42,72.1
940,175.26,68.9
941,182.88,73
942,182.88,77.1
943,193.04,91.2
944,152.4,67.1
945,185.42,77.1
946,172.72,60.8
947,175.26,72.1
948,187.96,83.9
949,175.26,76.2
950,182.88,79.8
951,182.88,78.9
952,187.96,83
953,187.96,81.2
954,154.94,81.2
955,154.94,69.9
956,182.88,78
957,154.94,68.9
958,154.94,71.2
959,182.88,84.8
960,175.26,77.1
961,187.96,79.8
962,182.88,81.2
963,185.42,79.8
964,167.64,83.9
965,152.4,73.9
966,154.94,73
967,198.12,82.1
968,187.96,84.8
969,152.4,71.2
970,172.72,68
971,152.4,76.2
972,170.18,68.9
973,185.42,83.9
974,190.5,88.9
975,185.42,79.8
976,152.4,76.2
977,175.26,76.2
978,175.26,69.9
979,154.94,79.8
980,185.42,78
981,154.94,73
982,182.88,83
983,190.5,89.8
984,187.96,73
985,185.42,86.2
986,154.94,79.8
987,185.42,78
988,182.88,74.8
989,154.94,73
990,152.4,77.1
991,154.94,72.1
992,190.5,77.1
993,185.42,81.2
994,185.42,82.1
995,185.42,73
996,187.96,78.9
997,190.5,88
998,187.96,84.8
999,182.88,68
1000,154.94,72.1
1001,185.42,78
1002,170.18,69.9
1003,187.96,78
1004,175.26,62.1
1005,172.72,66.2
1006,185.42,77.1
1007,167.64,69.9
1008,193.04,93
1009,175.26,78
1010,182.88,73
1011,154.94,76.2
1012,170.18,59.9
1013,185.42,83
1014,182.88,79.8
1015,152.4,71.2
1016,190.5,93
1017,152.4,72.1
1018,187.96,78.9
1019,182.88,78
1020,172.72,72.1
1021,182.88,69.9
1022,185.42,74.8
1023,167.64,58.1
1024,170.18,60.8
1025,182.88,82.1
1026,187.96,81.2
1027,175.26,73.9
1028,154.94,78.9
1029,182.88,78
1030,152.4,69.9
1031,152.4,73
1032,172.72,81.2
1033,185.42,76.2
1034,152.4,77.1
1035,172.72,73.9
1036,175.26,60.8
1037,152.4,78.9
1038,152.4,76.2
1039,175.26,73.9
1040,182.88,81.2
1041,154.94,67.1
1042,185.42,73.9
1043,187.96,74.8
1044,172.72,66.2
1045,190.5,86.2
1046,154.94,68.9
1047,152.4,71.2
1048,182.88,82.1
1049,187.96,86.2
1050,182.88,77.1
1051,193.04,86.2
1052,182.88,78
1053,185.42,88
1054,175.26,64.9
1055,152.4,73.9
1056,154.94,73
1057,185.42,69.9
1058,152.4,78.9
1059,172.72,67.1
1060,170.18,59.9
1061,187.96,79.8
1062,172.72,63
1063,154.94,69.9
1064,152.4,72.1
1065,193.04,84.8
1066,185.42,76.2
1067,154.94,68.9
1068,175.26,73
1069,152.4,72.1
1070,154.94,74.8
1071,187.96,83.9
1072,152.4,73
1073,187.96,77.1
1074,152.4,77.1
1075,170.18,68
1076,175.26,69.9
1077,152.4,68.9
1078,175.26,78.9
1079,185.42,82.1
1080,175.26,78.9
1081,170.18,73.9
1082,154.94,73.9
1083,154.94,77.1
1084,187.96,83.9
1085,187.96,73.9
1086,185.42,79.8
1087,182.88,77.1
1088,185.42,83
1089,190.5,84.8
1090,190.5,89.8
1091,152.4,81.2
1092,182.88,71.2
1093,167.64,66.2
1094,190.5,69.9
1095,175.26,69.9
1096,185.42,73.9
1097,190.5,84.8
1098,152.4,72.1
1099,187.96,82.1
1100,190.5,78.9
1101,193.04,78
1102,154.94,74.8
1103,154.94,82.1
1104,172.72,63
1105,187.96,78
1106,190.5,88
1107,187.96,83
1108,182.88,67.1
1109,152.4,73
1110,182.88,83
1111,175.26,72.1
1112,182.88,74.8
1113,187.96,84.8
1114,182.88,79.8
1115,154.94,78.9
1116,187.96,68
1117,152.4,69.9
1118,185.42,78.9
1119,182.88,87.1
1120,175.26,64
1121,185.42,71.2
1122,182.88,74.8
1123,190.5,87.1
1124,182.88,77.1
1125,187.96,78
1126,182.88,81.2
1127,190.5,86.2
1128,193.04,88.9
1129,152.4,69.9
1130,182.88,68.9
1131,182.88,78
1132,175.26,73
1133,172.72,71.2
1134,154.94,82.1
1135,154.94,76.2
1136,182.88,83.9
1137,185.42,76.2
1138,185.42,73.9
1139,152.4,69.9
1140,175.26,82.1
1141,187.96,76.2
1142,175.26,67.1
1143,182.88,84.8
1144,167.64,62.1
1145,187.96,81.2
1146,162.56,64
1147,190.5,78.9
1148,187.96,87.1
1149,182.88,73.9
1150,152.4,66.2
1151,152.4,76.2
1152,152.4,71.2
1153,182.88,79.8
1154,185.42,83.9
1155,182.88,73.9
1156,200.66,96.2
1157,154.94,66.2
1158,185.42,78
1159,193.04,84.8
1160,154.94,71.2
1161,175.26,68
1162,175.26,73.9
1163,193.04,83.9
1164,190.5,77.1
1165,185.42,84.8
1166,182.88,86.2
1167,187.96,79.8
1168,193.04,89.8
1169,185.42,79.8
1170,175.26,73.9
1171,175.26,73.9
1172,182.88,83
1173,172.72,69.9
1174,170.18,59.9
1175,172.72,69.9
1176,154.94,73
1177,190.5,74.8
1178,175.26,69.9
1179,172.72,66.2
1180,175.26,76.2
1181,154.94,72.1
1182,172.72,71.2
1183,152.4,78.9
1184,187.96,88
1185,175.26,73
1186,182.88,73.9
1187,152.4,72.1
1188,170.18,66.2
1189,175.26,68
1190,185.42,86.2
1191,152.4,73
1192,152.4,76.2
1193,185.42,79.8
1194,190.5,89.8
1195,175.26,69.9
1196,152.4,69.9
1197,167.64,68
1198,187.96,82.1
1199,175.26,69.9
1200,175.26,69.9
1201,182.88,78
1202,198.12,87.1
1203,185.42,81.2
1204,175.26,69.9
1205,152.4,78.9
1206,182.88,76.2
1207,198.12,84.8
1208,182.88,73
1209,167.64,68.9
1210,190.5,83.9
1211,182.88,74.8
1212,175.26,72.1
1213,175.26,72.1
1214,165.1,59.9
1215,152.4,64
1216,172.72,62.1
1217,154.94,69.9
1218,182.88,77.1
1219,154.94,77.1
1220,182.88,78
1221,152.4,72.1
1222,182.88,78.9
1223,190.5,78
1224,152.4,64.9
1225,187.96,74.8
1226,193.04,84.8
1227,170.18,68.9
1228,185.42,83
1229,193.04,88
1230,195.58,91.2
1231,193.04,78.9
1232,175.26,78.9
1233,154.94,74.8
1234,167.64,64
1235,182.88,78
1236,172.72,58.1
1237,187.96,83.9
1238,185.42,82.1
1239,152.4,74.8
1240,193.04,88
1241,182.88,79.8
1242,187.96,79.8
1243,165.1,62.1
1244,187.96,73.9
1245,187.96,72.1
1246,170.18,67.1
1247,187.96,79.8
1248,190.5,86.2
1249,175.26,71.2
1250,154.94,81.2
1251,182.88,78
1252,185.42,79.8
1253,152.4,82.1
1254,182.88,81.2
1255,154.94,78
1256,190.5,84.8
1257,193.04,82.1
1258,185.42,83
1259,185.42,77.1
1260,152.4,73
1261,152.4,73
1262,193.04,86.2
1263,182.88,86.2
1264,154.94,73.9
1265,185.42,73.9
1266,175.26,69.9
1267,185.42,82.1
1268,190.5,83.9
1269,152.4,73.9
1270,182.88,76.2
1271,154.94,77.1
1272,182.88,78
1273,182.88,79.8
1274,175.26,72.1
1275,154.94,79.8
1276,175.26,76.2
1277,185.42,74.8
1278,185.42,83
1279,185.42,77.1
1280,167.64,67.1
1281,175.26,63
1282,193.04,83.9
1283,154.94,76.2
1284,193.04,79.8
1285,182.88,84.8
1286,152.4,64
1287,187.96,78
1288,185.42,83
1289,170.18,68.9
1290,187.96,78.9
1291,175.26,67.1
1292,187.96,83.9
1293,190.5,79.8
1294,154.94,82.1
1295,154.94,79.8
1296,182.88,69.9
1297,190.5,84.8
1298,175.26,72.1
1299,175.26,68
1300,154.94,74.8
1301,182.88,74.8
1302,182.88,78
1303,182.88,81.2
1304,154.94,64
1305,172.72,72.1
1306,154.94,78.9
1307,182.88,77.1
1308,154.94,77.1
1309,190.5,84.8
1310,175.26,68
1311,187.96,74.8
1312,175.26,67.1
1313,193.04,88
1314,185.42,73
1315,154.94,74.8
1316,175.26,73
1317,190.5,79.8
1318,152.4,69.9
1319,172.72,68
1320,170.18,64.9
1321,182.88,79.8
1322,172.72,66.2
1323,152.4,73
1324,175.26,68
1325,172.72,69.9
1326,152.4,73.9
1327,187.96,83.9
1328,152.4,73
1329,182.88,77.1
1330,187.96,79.8
1331,170.18,64.9
1332,170.18,78
1333,182.88,81.2
1334,175.26,72.1
1335,152.4,73.9
1336,154.94,86.2
1337,152.4,69.9
1338,187.96,78
1339,172.72,68
1340,152.4,69.9
1341,190.5,79.8
1342,187.96,87.1
1343,182.88,77.1
1344,152.4,73
1345,152.4,72.1
1346,152.4,78.9
1347,182.88,81.2
1348,187.96,73.9
1349,175.26,69.9
1350,185.42,83.9
1351,154.94,79.8
1352,154.94,78.9
1353,190.5,79.8
1354,182.88,76.2
1355,165.1,62.1
1356,175.26,73
1357,187.96,79.8
1358,172.72,71.2
1359,187.96,88
1360,185.42,69.9
1361,190.5,98
1362,190.5,72.1
1363,152.4,77.1
1364,193.04,91.2
1365,182.88,83
1366,154.94,69.9
1367,193.04,88.9
1368,190.5,84.8
1369,152.4,76.2
1370,182.88,78
1371,187.96,77.1
1372,193.04,88
1373,190.5,79.8
1374,152.4,66.2
1375,193.04,81.2
1376,185.42,74.8
1377,154.94,78.9
1378,152.4,76.2
1379,187.96,82.1
1380,170.18,68
1381,170.18,60.8
1382,170.18,64
1383,154.94,69.9
1384,170.18,68.9
1385,175.26,69.9
1386,152.4,71.2
1387,175.26,69.9
1388,172.72,64
1389,185.42,81.2
1390,182.88,77.1
1391,182.88,78
1392,154.94,74.8
1393,154.94,81.2
1394,182.88,74.8
1395,175.26,69.9
1396,175.26,72.1
1397,167.64,72.1
1398,154.94,71.2
1399,187.96,84.8
1400,182.88,89.8
1401,187.96,83
1402,182.88,78
1403,162.56,59
1404,187.96,78
1405,175.26,72.1
1406,175.26,72.1
1407,185.42,82.1
1408,172.72,74.8
1409,175.26,73.9
1410,175.26,68
1411,185.42,78.9
1412,175.26,69.9
1413,182.88,76.2
1414,185.42,69.9
1415,182.88,79.8
1416,172.72,69.9
