"","Label","Pyruvate","MethylSuccinate","Phosphoglyceric Acid","Glucose 1-phosphate","Malonic Acid","Fumaric Acid","Alpha-Ketoglutaric Acid","Sarcosine","Cadaverine","5-Aminovaleric Acid","Pipecolate","Tyramine","1-Methylhistidine","isoValeric Acid","2-Hydroxyisovaleric Acid","3-Methyl-2-Oxovaleric Acid","2-Aminoisobutyric acid","Creatinine","Betaine","Taurine","1-Methylhistamine","Pyroglutamic Acid","Creatine","4-Hydroxyproline","Homocysteine","Cysteamine","Carnitine","Glycerate","N-AcetylGlycine","Guanidinoacetate","Benzoic acid","Citraconic Acid","Glutaric Acid","Oxaloacetate","Anthranilate","2-Hydroxyglutarate","2-Aminoadipate","Homogentisate","Hydroxyphenylpyruvic acid","Kynurenate","Xanthurenate","Pantothenic acid","L-Kynurenine","3-Hydroxykynurenine","Cytidine","Uridine","1-Methyladenosine","Hypoxanthine","Oxypurinol","Xanthine","Orotate","Allantoin","Urate","Xanthosine","AMP","IMP","ADP","Adenylosuccinate","Choline","Dimethylglycine","Niacinamide","Methylmalonate","Ascorbic Acid","4-Pyridoxic acid","Biotin","Pyridoxal 5'-phosphate","Trimethylamine","Trimethylamine N-oxide","Shikimic Acid","Hippuric Acid","4-Hydroxybutyrate","Acetylcholine","Deoxycarnitine","13-HODE","18-Hydroxyarachidonic acid","Glycochenodeoxycholate","Acetylcarnitine","Azelaic Acid","Myristic Acid","Margaric Acid","Linoleic Acid","Linolenic Acid","Mannose","Sorbitol","Glyceraldehyde","Erythrose","myoinositol","Fructose","D-Glucoronic acid","N-Acetylneuraminic acid","Lactose","Sucrose","Ornithine","Citrulline","Propionate","Oxalic Acid","Acetoacetate","Adipic Acid","Ribose-5-P","Geranyl-PP","Glycine","Alanine","Serine","Proline","Valine","Threonine","Leucine","iso-Leucine","Asparagine","Aspartic Acid","Glutamine","Lysine","Glutamic acid","Methionine","Histidine","Phenylalanine","Arginine","Tyrosine","Tryptophan","Cystine","lactate","3-Hydroxybenzoic acid","Succinate","Glucose"
"61","0",14.12483,15.66798,13.88542,12.435,12.96237,12.15258,14.6166,11.76777,10.93052,16.2854,15.61929,10.74815,14.6112,13.58221,16.04287,11.43226,11.68072,15.69435,16.11422,15.05254,11.156284,10.8406,15.33447,13.74458,10.212479,13.19803,16.48699,12.67912,12.68199,12.79476,13.19566,14.92,13.69445,11.8637,14.35313,14.52459,11.40634,14.32299,11.12811,11.76942,12.30393,13.1949,12.12035,12.18628,9.478437,11.54007,15.09646,13.658,12.066,13.28741,14.27521,13.07971,17.16526,11.40412,13.19133,12.194189,13.0167,11.53284,16.90092,13.56279,12.04395,14.07961,13.04048,13.46128,13.41463,12.0983,13.41099,16.46191,17.42841,15.37253,12.21388,14.47827,10.78237,12.16122,10.467272,13.13665,15.9693,12.87363,13.21414,11.49414,11.30058,14.14018,16.35672,12.62046,12.05484,12.45209,14.32574,12.50955,11.93655,11.31155,11.01504,12.73023,15.17161,16.98153,10.419339,11.31294,11.73068,11.87131,11.24014,11.62623,4.760303,5.753387,4.125552,4.963061,5.05784,4.792172,4.673571,4.064194,3.70211,2.148945,5.939324,5.300821,4.713291,3.075015,4.428947,4.01782,4.510121,4.218307,3.70023,2.817706,6.84119,2.258414,2.491088,8.240600446
"62","0",14.12521,15.84868,14.61122,12.76847,12.38062,12.66011,14.85253,12.02682,10.84177,16.20844,15.54623,11.00989,14.84726,13.74355,16.61902,11.89082,11.78385,15.73384,16.34803,15.44444,11.397204,10.89148,15.37312,14.09998,10.283161,12.579,16.73101,12.62903,13.16933,12.51804,12.6747,13.73362,13.76552,11.76877,14.5804,14.58307,11.57428,14.01513,11.15639,12.15679,12.30629,12.53618,11.99164,11.89999,9.462557,11.54404,15.09189,13.84344,12.27234,13.49086,14.36027,12.8396,16.91875,11.387,13.74368,13.491047,13.98719,11.71192,17.07112,13.84514,12.43396,14.25257,12.49913,13.5273,13.44742,12.23047,13.56394,16.03928,17.98003,13.19254,12.37753,14.6383,10.94261,11.32443,10.607013,11.35602,15.98098,12.70083,13.28108,10.93232,10.9883,13.48788,16.34788,12.5552,11.10013,12.55456,14.33566,12.01481,12.15923,11.44706,11.28984,12.78302,14.90697,16.74315,11.055761,11.64182,11.88935,11.81098,11.71252,11.62554,4.647171,5.734815,4.084675,4.491438,4.844801,4.825955,4.627162,3.761491,3.757998,2.274892,6.029439,5.064644,4.478362,3.17274,4.533552,4.057604,4.14239,3.918772,3.687081,3.043648,7.135819,1.683385,2.430159,8.36950741
"63","0",13.91184,15.77067,13.61614,12.20023,13.89725,12.20369,14.9655,11.98442,11.26017,15.75196,15.59855,10.6714,14.42696,13.586,15.94204,11.70444,11.92385,15.59787,16.1156,15.15445,11.006074,11.1999,15.29049,14.0381,10.431243,11.99256,16.8118,12.87187,14.5302,12.99244,13.09317,13.60383,13.37991,11.57794,14.46993,14.1193,10.6951,14.09481,11.37369,11.76877,12.27823,13.04403,12.06941,11.90161,10.478568,11.71974,14.77643,13.45502,12.45796,13.54908,14.42486,13.24243,16.95615,10.96415,13.10883,11.701864,13.15635,11.60765,17.11405,13.69673,11.66385,14.21141,12.84742,13.46202,13.42824,12.54193,13.67036,15.79572,17.3221,15.57185,12.84226,14.69616,10.89682,11.95521,10.291119,11.74503,16.54735,13.07181,12.56655,11.26228,11.3459,14.23707,16.41907,12.05807,11.28802,12.39658,14.76855,12.81,12.20927,11.12151,10.95547,12.77964,15.22139,17.09735,10.216248,11.17138,11.44535,12.01256,11.7485,12.01796,5.352119,5.580957,4.467401,4.463892,4.569581,4.93717,4.345951,3.638652,3.969679,1.516062,6.185998,5.224901,3.597114,3.281993,4.474527,4.037906,4.546264,3.504973,3.716985,3.313695,6.701857,3.227728,2.456011,8.212264012
"66","0",13.90502,16.14545,13.69426,12.29795,13.89796,12.84723,14.76558,11.92289,11.32354,16.01508,15.63897,11.07531,14.01613,13.74473,16.04022,11.89488,11.98976,15.60446,15.68833,15.21187,10.632859,11.05632,16.16983,13.71989,10.283192,12.73572,16.74766,12.83216,14.75608,12.78604,13.09239,13.55542,13.21036,11.75242,14.5033,14.38057,11.68238,13.99927,11.53658,11.56864,12.19665,12.73354,12.12928,12.00644,9.873217,11.43094,15.06562,14.07035,12.50824,13.66162,14.29386,13.21729,16.84273,11.42102,13.32251,12.733465,13.35859,11.64734,17.04864,13.71523,11.91471,14.66182,13.08232,13.59637,13.22478,12.40325,13.69438,16.38705,16.40829,14.71053,12.20345,14.60134,11.11605,11.6024,10.653159,12.7637,16.42655,12.68196,12.90637,11.24876,11.47205,14.33664,16.4085,12.34741,11.40625,12.35976,14.72257,13.12641,12.32817,11.33603,10.78681,12.71446,14.92916,16.796,10.251655,11.06337,11.74858,11.57794,11.98586,12.11647,5.139456,5.394026,4.235848,4.74587,4.750061,4.3397,4.426829,3.730405,4.245047,2.160763,6.024466,5.194867,4.142846,2.949363,4.284418,3.928457,4.388637,3.715859,3.550387,3.2231,6.573248,3.111999,2.169131,8.390142143
"67","0",13.58775,15.69337,13.75002,12.28781,13.60179,12.29981,15.02229,11.77458,10.90201,15.97838,15.5868,10.94015,11.82805,13.76527,15.89918,11.59018,11.70695,15.51761,16.57304,15.0396,0.6079275,11.24628,14.67243,14.25776,10.287631,12.51543,16.81539,12.5948,12.97229,12.40458,12.73576,13.40114,13.61379,11.49909,14.48975,14.33808,11.3255,14.25882,10.95548,11.62195,12.18211,13.13639,12.24935,11.89582,10.783235,11.12763,15.06538,13.58787,12.15373,13.44587,14.4293,12.79445,17.17793,11.26393,13.07741,12.509756,12.70775,11.39549,17.08081,13.15147,11.79399,13.87965,12.5818,13.6752,12.90511,12.58589,13.66862,16.69723,17.44506,14.21812,12.33034,14.95519,11.35003,11.3101,10.43092,11.97284,16.39593,13.16275,12.92599,11.12084,11.11196,14.1411,16.39843,12.57644,12.05608,12.38844,14.02356,12.59398,12.684,12.57183,13.59008,12.67943,14.98724,17.13808,9.988087,11.19411,11.08035,12.15573,11.60388,12.06986,4.786618,5.909839,4.156594,5.365846,4.709364,5.081805,4.45256,3.826187,3.718863,1.972229,6.115564,5.126419,4.143303,3.317359,4.558268,4.146181,4.304421,4.03572,3.363633,3.290479,6.652491,2.87103,2.530671,8.470634543
"68","0",14.18765,15.47063,13.78177,12.35714,14.22541,14.94056,14.68476,11.81078,10.95966,15.91428,15.57876,10.93949,14.8774,13.89933,15.93932,12.08746,11.46267,15.54889,16.16219,15.49483,11.456621,11.09701,15.90219,13.20392,10.34964,12.90108,16.87568,12.78781,13.34063,12.64038,12.76421,14.36785,13.16446,11.83133,14.48613,14.68398,11.31967,13.95659,10.93588,11.98736,12.09954,14.59602,12.23938,12.12285,10.131241,11.56168,14.89893,13.96666,12.01881,13.41019,14.29403,13.15683,16.97539,10.96145,13.67033,12.121808,13.6546,11.50007,16.7879,13.69208,12.10114,13.97665,12.57171,13.45473,13.45684,12.36208,13.77164,15.87792,16.902,13.89734,12.12531,14.24329,10.51781,11.12243,10.628324,12.83643,16.07467,12.89869,12.82326,10.94029,11.1317,13.8718,16.28728,12.10945,11.66606,12.50753,14.37818,12.97462,12.33719,11.29265,11.70667,12.73305,14.85774,16.90791,10.310718,11.36565,11.97182,11.78358,11.49703,12.00914,5.383054,5.491651,4.328106,4.543717,4.65345,4.760505,4.488475,3.771953,3.53253,2.126322,6.010142,5.174094,4.869713,3.133192,4.419363,4.030334,4.324335,3.712206,3.342642,3.099874,6.938621,2.047146,2.17393,8.38220495
"69","0",14.09437,15.39128,13.15605,12.29969,12.53892,12.5722,14.73191,11.81871,11.25617,16.18143,15.35042,10.74818,12.79514,13.87286,15.94158,11.64714,11.26073,15.5626,16.41945,15.22139,0.6079275,10.99953,14.49929,13.81435,10.231031,12.27122,16.58778,12.62661,12.76212,12.46964,13.08866,13.71525,13.68884,11.75581,14.48961,14.24417,11.57432,14.31022,10.85191,11.76818,12.35742,13.77879,12.27578,12.10117,9.594468,11.81776,14.46924,13.11455,11.86713,13.09696,14.16792,13.13411,17.46159,11.19707,13.28988,10.887427,13.1766,11.4352,16.61882,13.73919,11.69308,13.69074,12.52589,13.51868,13.3807,12.48769,13.41868,15.69621,15.56901,14.34892,12.32921,14.22677,10.61623,11.23486,10.099298,12.68902,15.81575,13.02205,12.64086,11.08732,10.34142,13.0847,16.32092,12.20469,11.16557,12.66546,14.2574,12.40811,11.66978,11.17657,10.42876,12.72795,14.69126,16.74155,10.358736,11.17945,11.59896,11.91736,11.33785,12.19117,4.612844,5.715204,4.102996,4.767963,4.879944,4.146862,4.558008,3.890307,3.417818,1.855952,5.971754,5.010705,4.295175,2.799802,4.325519,4.046423,4.316005,3.589466,3.665739,2.796427,6.780874,1.879761,2.061995,8.421292649
"70","0",13.88774,15.65114,13.67743,12.10619,12.4438,12.49507,15.04616,11.75824,11.1626,15.73171,15.55323,11.10704,13.04439,13.52229,15.77773,11.76151,11.63149,15.60823,16.49127,14.84808,9.642915,11.36404,15.04217,13.55582,10.571322,12.72542,16.62589,12.73717,13.49179,12.84333,12.91863,13.48054,13.41756,11.34375,14.52488,14.2854,10.60629,13.83614,10.84403,11.59509,12.22465,13.53875,12.01693,11.97347,9.46248,11.43537,14.94408,13.94855,12.18847,13.41011,14.49336,13.06048,16.81841,11.42483,13.05354,12.211975,12.78682,11.18459,16.79143,13.36691,11.74848,13.78006,12.84631,13.64464,13.23464,12.4546,13.56096,14.90814,15.74218,13.75058,12.48396,14.44349,10.63598,12.06621,10.490494,12.27519,15.85537,12.64368,12.77834,11.03029,11.43306,14.26944,16.42673,12.22368,11.36986,12.45774,14.03007,12.63882,12.07323,10.85635,11.53417,12.78067,15.21111,17.07746,9.869633,11.08125,11.63787,11.75071,11.50544,12.12289,5.230698,5.689643,4.142192,4.803954,4.440727,4.216297,4.220803,3.449645,3.66044,1.327164,6.158397,5.020783,3.676013,3.016688,4.312835,3.870939,4.421158,3.628347,3.223843,2.857471,6.622154,1.847846,2.536259,8.222391052
"71","0",14.22991,15.69293,14.23548,12.74927,12.97888,11.55882,14.83937,11.59061,11.22847,16.1443,15.41514,10.62924,11.48781,13.74325,15.92825,11.61015,11.68563,15.27834,16.31917,15.27435,0.6079275,10.95415,15.37719,13.1476,10.372088,12.22659,16.75075,12.78068,13.18941,12.64082,13.17393,13.93107,13.43671,11.20824,14.42012,14.40833,11.06469,14.36365,11.06433,11.91276,12.16049,12.79604,11.73223,12.03836,9.154327,11.66335,15.07779,13.92692,12.37273,13.57852,14.38393,13.05356,17.24158,11.38507,13.86883,12.732831,13.79918,11.89242,16.87936,13.48972,12.35616,13.79689,12.82852,13.57499,13.33689,12.45841,13.53438,15.56417,17.29765,13.88674,12.58993,14.43581,10.77902,12.04934,10.437667,11.72527,16.42232,12.68212,13.43837,11.17211,11.55656,14.30691,16.39466,11.98197,11.62069,12.52685,14.12046,12.11677,12.10711,11.61886,11.6067,12.7517,14.77279,16.80773,10.277428,11.45405,11.52961,11.51804,11.39188,11.86055,4.625607,5.920588,4.249912,4.807319,4.743911,4.74526,4.498837,3.917486,3.700008,2.580102,6.064542,4.995605,4.510054,3.052029,4.354817,4.021493,4.472819,3.474888,3.376076,3.033125,7.116761,2.321552,2.765492,8.528618926
"72","0",13.47089,15.77661,12.80361,11.87431,13.85644,11.85132,14.72336,11.89774,11.27532,15.80982,15.24498,10.89455,10.99638,13.69955,15.33081,11.89882,11.50763,15.50297,16.32276,14.83551,0.6079275,11.10626,16.14789,13.1314,10.627424,12.39802,16.26837,12.94702,13.7806,12.80343,13.27345,15.84427,13.53109,11.87955,14.54286,14.22603,10.75762,13.86664,11.11233,11.39989,12.23709,13.12929,12.01323,12.11167,9.478304,11.80106,14.79106,13.30365,12.0262,13.25166,14.37935,13.22301,16.88583,10.81188,12.97501,11.034544,12.90277,11.24443,16.77155,13.01071,11.53959,13.91664,12.67304,13.52732,13.46519,12.39513,13.10743,16.10955,16.52555,17.42351,12.26686,14.41376,10.82996,12.41185,10.40913,11.34152,16.13156,13.19587,12.17727,10.75332,11.18128,14.10846,16.42562,12.11428,11.34641,12.44251,14.34298,14.05279,12.1374,10.8957,15.03436,12.6299,14.71725,16.82708,9.378984,10.69703,10.91503,11.69132,11.88162,12.22571,5.437879,5.355723,4.343864,4.28783,4.396778,4.83589,4.250757,3.414219,3.798503,1.526819,6.05929,4.810271,3.935461,3.01481,4.427935,3.785503,4.406671,3.383026,3.345017,2.906815,6.176695,3.178995,2.031551,8.339872357
"73","0",13.79142,15.66044,12.41604,11.80793,14.84756,12.69514,14.8039,11.96071,11.26361,16.19713,15.51507,10.85172,13.86858,13.57666,16.83076,12.29366,11.70525,15.74147,16.45262,14.68615,10.579164,11.03309,15.33922,13.33062,10.404481,12.05275,16.73505,12.82035,14.63367,12.44275,13.58238,14.48833,14.12683,12.56289,14.48504,14.24857,11.65546,14.32768,11.3566,11.40948,12.34661,12.65573,12.03559,11.89445,9.762144,11.38551,14.72495,13.94478,12.63147,13.78359,14.4888,13.26555,17.30524,11.33188,11.68719,10.694469,11.73587,10.70351,16.98113,14.03063,11.03393,14.44478,12.6656,13.53949,13.20644,12.23052,13.64299,18.01039,15.80759,14.39352,12.35368,14.6894,10.71465,11.38566,10.247818,12.65896,16.77951,13.01995,12.73127,11.21921,10.89534,13.93647,16.41743,12.50707,11.57532,12.30614,14.61034,12.72661,12.1876,10.72535,10.93673,12.7571,14.88672,16.90433,11.090533,11.22667,12.21401,11.98654,11.57789,11.95199,4.877325,5.325821,4.199315,4.84311,4.889097,4.575421,4.573152,3.962736,3.511997,1.528441,6.021093,5.069851,3.797616,3.190137,4.397896,4.0152,4.228379,3.893781,3.60793,3.201855,6.518707,3.772191,2.185031,8.260333046
"75","0",13.81128,15.87794,13.65507,12.00566,13.35926,12.68601,14.83798,12.44237,11.09516,15.95714,15.32419,10.89815,11.96598,13.5274,16.25528,11.4468,11.9371,15.78301,16.28924,14.95072,0.6079275,10.98232,14.67508,13.1867,10.36589,12.72197,16.92989,12.76281,12.88141,12.76981,12.99909,14.50094,13.82748,12.40383,14.50072,14.35186,11.30427,14.1316,11.4783,11.97504,12.18989,13.26738,12.27675,12.12618,9.762054,11.89327,14.86391,13.69059,12.53085,13.74194,14.45397,13.29335,17.19074,11.17614,13.24557,11.002921,13.01519,11.0475,17.11038,13.53523,12.08299,14.22478,12.74562,13.52747,13.72442,12.4352,13.75876,15.70201,16.14348,15.97124,12.43627,15.13407,11.3679,11.61855,10.461188,11.79083,16.24637,12.97945,12.79828,11.40021,11.43227,14.13959,16.42035,12.42136,11.98483,12.3728,14.61472,13.09599,12.33234,11.04809,11.30689,12.70771,14.6531,16.81105,10.462524,11.3449,11.43084,11.94775,11.93594,12.30098,4.821,5.801254,4.133701,4.898696,4.754352,4.507347,4.646772,3.893713,3.918205,1.713745,6.029433,4.954165,3.934342,3.287243,4.588332,4.091954,4.249224,3.846444,3.804142,3.043344,6.796378,2.656716,2.359158,8.223552495
"78","0",13.40834,15.82562,13.0325,12.1047,13.3937,12.2559,14.91244,12.35238,11.29347,15.92897,15.43153,10.97905,15.96097,13.58549,15.53633,12.19562,11.65756,15.77878,16.41651,15.06327,12.487665,11.27,14.61721,13.50104,10.107023,12.55779,16.77932,12.96638,14.0311,12.66254,13.11259,13.7297,13.54451,11.9227,14.39124,14.13783,10.4573,13.98701,11.22638,11.54437,12.02735,12.83401,11.8572,12.11617,10.123406,10.97548,14.88955,12.87983,12.01137,13.21654,14.52097,13.28144,16.99704,11.11236,12.92137,10.576694,13.00553,10.78097,17.03035,13.24948,11.96526,14.1749,12.94213,13.5791,12.99102,12.42552,13.6912,16.29063,17.36228,13.61787,12.37071,14.81316,10.9819,11.41062,10.477009,11.26558,16.49121,12.9337,12.49413,11.33847,11.06015,13.98141,16.51189,12.04901,12.15086,12.40965,14.4888,13.37523,12.448,11.3268,10.97796,12.82177,14.93215,16.96873,9.638485,10.93432,11.15861,12.03829,11.75197,12.01143,5.332035,5.401392,4.41133,4.570287,4.759396,4.86995,4.289975,3.609937,3.735718,1.883037,6.109882,5.016579,3.397629,3.149313,4.452905,3.993252,4.394225,3.620936,3.243048,2.900005,6.472523,2.625084,2.334525,8.273687644
"79","0",13.62624,15.68329,13.74555,12.41954,12.6598,12.04658,14.9294,12.61867,11.18189,16.19054,15.69057,10.92621,12.41795,13.76642,16.03597,11.43435,11.51158,15.66163,16.33155,15.37605,9.639372,11.26216,15.83239,13.80196,10.163582,12.69718,16.63086,12.65976,13.25316,12.74031,12.56934,13.5984,13.73983,11.88024,14.53241,14.56218,11.83347,14.32591,11.20474,11.79797,12.13342,12.64146,11.96958,12.0126,9.363095,11.81922,14.60797,13.5652,12.29103,13.44341,14.29681,13.02049,17.18659,11.49323,13.70926,12.130192,13.82818,11.62671,16.78762,13.72457,12.43633,13.84018,12.82439,13.61828,13.49719,12.30572,13.48343,18.15833,15.8375,13.59039,12.77257,14.81459,11.16873,11.16256,10.095097,11.02814,15.78668,12.78447,13.00778,11.22132,11.3228,13.84423,16.34814,12.31946,11.51517,12.55114,14.26132,12.60282,12.32676,11.38842,10.61269,12.78964,14.67494,16.65244,10.06057,11.04382,11.62759,11.3448,11.46458,11.92958,4.764917,5.60592,4.229789,4.559924,4.884937,4.777798,4.653621,3.951155,3.672497,2.068919,6.135114,5.258959,4.736555,3.214898,4.474952,3.950093,4.42621,3.672063,3.51029,3.137008,6.686656,2.050419,2.167668,8.489779286
"80","0",13.73239,15.61433,13.55049,12.21479,12.29516,11.84988,14.63825,12.49392,11.12854,16.1466,15.50268,10.79106,15.56675,13.61376,16.12763,11.37036,11.67573,15.61554,16.4747,14.89555,11.947508,10.96127,15.87144,13.52568,10.39153,13.24159,16.49619,12.76398,13.45366,12.01263,13.08179,14.60859,13.46168,12.16698,14.51365,14.27819,11.18711,14.0748,10.75218,11.80447,12.20197,13.8385,11.67576,12.01469,8.191453,12.15788,14.78306,13.71452,12.15919,13.4342,14.29609,12.78736,17.02753,11.46155,13.29205,12.216762,12.69794,11.23397,16.86921,13.941,11.86319,13.96233,12.84482,13.44454,13.80011,12.37866,13.26897,16.64161,15.83471,13.84404,12.72044,14.28706,10.59564,11.26648,10.546606,10.6729,15.80096,12.91707,13.2449,10.68001,11.17848,13.92847,16.32906,12.34458,11.36881,12.40297,14.13772,11.25011,12.49933,12.08972,10.87904,12.69196,14.45726,16.48772,10.366166,10.94451,11.81009,12.35026,11.18888,11.82424,4.794259,5.680113,4.188518,4.306972,4.907579,4.58691,4.501071,3.851449,3.522875,2.090341,5.963953,5.030631,3.919153,3.154709,4.355447,3.928209,4.096122,3.751882,3.610717,2.79903,6.59375,1.587524,2.19898,8.301009626
"82","0",13.43424,15.59939,12.93787,11.94969,14.68566,12.5352,14.99493,12.62585,11.33029,15.97526,15.412,11.095,13.97246,13.6679,17.10431,11.90626,11.44564,15.9739,16.29827,14.79313,10.408063,11.38778,14.96009,13.61913,10.479651,12.44477,16.63774,12.70182,14.081,12.82775,13.13563,15.86862,14.33177,12.04114,14.51901,14.49565,11.36619,14.3576,11.37436,11.7134,12.40929,13.98008,11.87754,12.01383,9.511266,11.7731,14.89674,13.58562,12.34513,13.53144,14.37917,13.08232,17.1951,11.40614,13.10055,10.590189,12.53459,11.4446,16.72973,14.15337,11.53968,13.86577,12.87398,13.59334,13.44894,12.3277,13.50632,17.31308,15.57026,14.21417,12.7088,14.89588,11.0056,11.18243,10.586344,11.37032,16.63196,13.09331,12.72679,11.17046,10.97292,13.23788,16.43508,12.3188,11.51911,12.40245,14.49514,13.17494,12.57292,11.05381,11.30342,12.72612,14.8457,16.99544,10.569307,11.27574,11.7992,12.0896,11.52283,12.18267,4.760217,5.398391,3.999805,4.725886,4.688695,4.433804,4.635752,4.187925,3.707007,1.707158,6.186159,4.9412,4.16527,3.064978,4.281106,3.846768,4.413113,3.621619,3.889846,2.56696,6.572328,3.662519,2.141213,8.289687552
"83","0",14.09503,15.48003,13.73711,12.27623,13.37307,12.24193,14.76537,12.4652,11.27884,16.052,15.38924,10.78105,15.0196,14.02212,15.67241,12.52194,11.32458,15.56178,16.30061,14.85837,11.610446,10.98924,15.58517,14.28136,10.330007,13.0755,16.52622,12.64388,13.45841,12.49687,12.78926,15.71836,13.39724,12.03139,14.43666,14.2716,11.45897,13.78762,10.99789,12.0537,12.07893,13.61578,11.78252,12.15004,9.26546,11.20559,14.79558,14.58332,12.18696,13.3912,14.28722,13.18679,16.7299,11.26162,13.12804,10.928696,12.74972,11.30553,16.75979,13.6154,11.92496,14.00802,12.72706,13.57874,13.18488,12.31348,13.31486,15.06804,16.60199,15.14512,12.59964,14.38424,10.4706,12.40197,10.543498,10.89126,15.75897,13.14302,12.80734,10.94893,11.46207,14.46328,16.33283,12.07459,11.26646,12.73286,14.40972,11.97404,12.58958,10.98449,10.61654,12.78542,14.62231,16.86264,10.260305,11.21026,11.65323,11.70001,11.22437,12.14546,4.778014,5.653344,4.080558,4.414848,4.86522,4.732661,4.582562,3.950818,3.573344,1.549764,5.957205,5.015028,4.282917,3.067585,4.338421,4.063158,4.435247,3.620287,3.450654,3.158188,6.861233,2.678659,2.204938,8.636030152
"84","0",13.94868,15.70701,14.53875,12.77561,13.37963,12.26051,14.72778,12.23772,11.05149,16.12248,15.63468,11.08404,14.0268,13.83137,16.47964,11.73352,11.41421,15.70477,16.24025,14.87963,10.602571,11.1424,15.71413,14.19446,9.923471,12.34281,16.80478,13.07062,13.41677,12.74545,12.6369,13.84167,13.87526,11.86854,14.56589,14.47568,11.71249,14.19843,11.20569,11.86264,12.10001,12.94405,12.09982,11.97242,9.413771,11.89456,15.11175,14.37826,12.19862,13.57031,14.22964,13.5312,17.09777,11.26621,13.96787,12.342191,13.08076,11.15106,16.77805,14.17258,12.39549,14.16678,12.19646,13.62461,13.50121,12.4381,13.68554,15.14248,15.74366,15.06639,12.51133,14.65407,10.92457,12.10915,10.608249,11.88675,16.23258,12.72887,13.27772,11.10248,11.23729,13.86419,16.45326,12.46517,12.04303,12.54043,14.43488,12.65218,12.02974,11.02454,10.8566,12.88154,15.03426,16.7016,10.469089,11.48388,11.90907,11.57421,11.66899,12.00697,4.775999,5.808581,4.509092,4.594968,4.858295,4.760472,4.666438,3.912585,3.741986,1.951595,6.053224,5.209436,4.563798,3.068113,4.564437,4.025111,4.30916,3.936639,3.564414,3.246105,6.974689,2.675655,2.335937,8.484635078
"85","0",14.29826,15.35509,14.10312,12.76697,12.75048,11.65194,14.50287,12.19434,11.07282,15.95145,15.26801,10.66413,12.82773,13.61927,15.43524,11.51891,11.81993,16.05036,16.40808,15.22045,9.766831,10.47266,14.2522,13.41366,10.171869,11.43534,16.71163,12.46182,13.30787,12.13728,12.85423,14.2358,13.44991,11.65905,14.47124,14.35768,11.06609,14.09811,11.32696,11.70996,12.21951,14.63892,12.27385,12.00393,9.640265,11.43758,15.18778,13.60276,12.23426,13.30942,14.37069,13.11961,17.01595,11.7628,13.64653,12.889444,13.45438,11.47568,17.09211,12.97742,11.91014,14.05184,13.56868,13.44836,12.91596,12.20121,13.53302,17.86071,15.89115,13.97143,12.45701,14.4638,10.5542,11.63106,10.34434,11.82917,16.31388,12.96493,13.23657,11.36123,11.1552,14.06005,16.39959,12.20981,11.37601,12.49104,14.53036,14.00733,12.48937,11.77097,12.60867,12.68309,14.63762,16.77059,9.995362,11.56003,10.65961,11.96818,11.2446,12.20007,4.630839,5.885017,3.799991,4.644701,4.579582,4.124705,4.37296,3.7536,3.397686,2.009385,5.896585,4.909886,4.336897,3.074536,4.346522,4.000151,3.883285,3.681679,3.724252,2.90471,7.030989,2.027413,2.6462,8.288551441
"86","0",14.13008,15.89291,13.303,12.03762,12.07981,12.70184,14.94511,12.12219,11.10033,15.7534,15.61492,11.00406,12.76115,13.67828,15.96875,11.43892,11.64143,15.78605,16.59025,15.0505,0.6079275,11.35018,14.83585,13.72621,10.657238,13.0899,16.64208,12.39847,13.19833,12.99638,12.56378,14.73395,13.70993,11.75365,14.64144,14.48422,11.34417,14.04385,11.21594,11.86484,12.3672,13.4603,12.58568,11.93004,8.63033,11.09712,14.94952,13.88701,12.45271,13.74346,14.45756,12.91985,17.05743,11.96928,13.25371,11.863982,13.31427,12.06325,16.96231,13.413,11.83894,13.98801,12.88662,13.76235,12.9795,12.27867,13.54062,15.8308,16.74971,13.80498,12.05657,14.98404,11.31384,11.1781,10.404731,12.35046,15.63809,12.7696,12.97587,10.90547,10.46562,13.48265,16.40032,12.32609,11.49206,12.36886,14.34863,11.6145,12.04601,11.08837,13.05125,12.78455,15.04443,17.03046,10.075056,11.47662,11.24312,11.8649,11.72911,11.67103,4.63603,5.615636,3.715617,4.727412,4.375617,4.583926,4.259337,3.664756,3.670201,1.598842,5.914056,5.016796,3.901248,3.116886,4.205628,3.876827,4.403199,3.572489,3.592217,2.910169,6.929935,1.347397,2.130309,8.263915892
