full_name,height_cm,weight_kgs
Yusuf Yazıcı,182.88,73.9
Bastian Oczipka,185.42,84.8
Federico Valverde,182.88,78
Martín Benítez,172.72,72.1
Michel Vorm,182.88,83.9
Nampalys Mendy,167.64,73
José Juan Vázquez Gómez,165.1,64
Unai Núñez Gestoso,185.42,81.2
Nemanja Radoja,185.42,77.1
Kieran  Gibbs,152.4,69.9
Abderrazak Hamdallah,182.88,81.2
Pablo Renan dos Santos,187.96,82.1
Seko Fofana,182.88,77.1
Felipe Dias da Silva dal Belo,187.96,74.8
Carlos Andrés Villanueva Roland,172.72,73
José Márcio da Costa,170.18,67.1
Diego Rico Salguero,182.88,76.2
Alberto Moreno Pérez,170.18,64.9
Jordy Clasie,170.18,66.2
Rogelio Gabriel Funes Mori,182.88,81.2
Osvaldo Alonso Moreno,154.94,69.9
Alexander Djiku,182.88,73.9
Jonathan Hogg,175.26,73
Dominic Calvert-Lewin,187.96,71.2
Marvin Zeegelaar,185.42,82.1
Guido Carrillo,190.5,87.1
Jozabed Sánchez Ruiz,154.94,67.1
Alan Javier Franco,182.88,77.1
David Brooks,182.88,62.1
Jeffrey Bruma,190.5,88
Luigi Sepe,185.42,74.8
Sam Vokes,187.96,89.8
Javier López Rodríguez,154.94,76.2
Jordan Amavi,175.26,69.9
Idrissa Mandiang,187.96,83
Alper Potuk,152.4,67.1
Oliver Norwood,175.26,68.9
Rani Khedira,187.96,83.9
Darwin Machís,170.18,73.9
Robin Quaison,182.88,77.1
Paul Dummett,182.88,82.1
Landry Dimata,182.88,83
Allan Norberto Bardini Paneira,175.26,72.1
Ludovic Butelle,187.96,83.9
Sebastián Cristóforo,175.26,68
David Jason Remeseiro Salgueiro,152.4,64.9
Mikel Agu,182.88,77.1
Emmanuel Badu,172.72,69.9
Nathan Redmond,172.72,68.9
Sandro Ranieri Guimarães Cordeiro,187.96,74.8
Anthony Mounier,175.26,64.9
Matheus Fellipe Costa Pereira,175.26,73.9
Christophe Jallet,152.4,69.9
Diego Castro Giménez,175.26,71.2
岡崎 慎司,172.72,78
Ola  Williams Kamara,182.88,81.2
Miguel Ângelo da Silva Rocha,185.42,83
Rick Karsdorp,182.88,79.8
José Carlos Coentrão Marafona,190.5,86.2
Diego Valdés,152.4,74.8
Maxime Gonalons,187.96,76.2
Jorge Franco Alviz,182.88,74.8
Fredy Alejandro Guarín Vásquez,182.88,79.8
Mathias Jensen,172.72,68
Ryan Thomas,175.26,64
Bogdan Butko,182.88,72.1
Luca Cigarini,175.26,72.1
Ahmed Musa,170.18,62.1
Mykola Morozyuk,175.26,71.2
Georgiy Schennikov,154.94,74.8
André Ramalho Silva,182.88,78
Thomas Foket,152.4,73.9
Philip Foden,170.18,68.9
Walace Souza Silva,187.96,74.8
İrfan Can Kahveci,175.26,67.1
Jimmy Briand,154.94,83.9
Diego Rolán,152.4,69.9
Cyril Théréau,187.96,78.9
Bruno Valdez,182.88,78.9
Pape Moussa Konaté,182.88,78
Hugo Ayala Castro,182.88,81.2
Justin Kluivert,170.18,66.2
Percy Tau,167.64,64.9
Javier Eraso Goñi,154.94,71.2
Artur Boruc,193.04,87.1
Sam Larsson,152.4,69.9
Paulo Henrique Soares dos Santos,170.18,63
Jonathan Matías Urretaviscaya da Luz,172.72,66.2
Youssef Aït Bennasser,182.88,73.9
Paul Bernardoni,190.5,78
Joshua Brenet,154.94,73.9
Carles Aleñá Castillo,154.94,73
Thiago Maia Alencar,152.4,78.9
Robert Skov,182.88,76.2
Mauricio Aníbal Isla Isla,175.26,74.8
Weston McKennie,185.42,83.9
James Tavernier,182.88,74.8
Samuel Kalu Ojim,175.26,73.9
Marlon da Silva Barbosa,182.88,79.8
Joseph Alfred Duncan,152.4,78
Stefano Sturaro,154.94,79.8
Harry Arter,175.26,69.9
Vitaliy Buyalskyi,170.18,60.8
Malang Sarr,182.88,73
Ignacio Fernández,182.88,67.1
Hans Hateboer,187.96,73.9
Florian Niederlechner,187.96,86.2
Pirmin Schwegler,152.4,73.9
Ben Pearson,175.26,71.2
Tammy Abraham,190.5,79.8
Jefferson Moreira Nascimento,175.26,72.1
Joakim Mæhle,182.88,79.8
Unai López Cabrera,170.18,69.9
Ibrahim Amadou,182.88,81.2
Christian Günter,182.88,83
Ogenyi Eddy Onazi,172.72,73
Jefferson Antonio Montero Vite,172.72,69.9
Oscar Fabián Murillo Murillo,182.88,83
Borja González Tomás,190.5,82.1
Lucas Zelarayán,172.72,73
Martin Kelly,190.5,77.1
Aminu Umar,175.26,72.1
Joseba Zaldúa Bengoetxea,175.26,69.9
Mbaye Diagne,190.5,86.2
Jovane Eduardo Borges Cabral,175.26,68
Scott Dann,187.96,78
Mateo Pavlović,195.58,93.9
Andrew Surman,152.4,73
Florian Kainz,175.26,71.2
Francisco José Beltrán Peinado,170.18,64
Kenneth Vermeer,154.94,78
Andreu Fontàs Prat,185.42,86.2
Luis Enrique Quiñónes,152.4,64.9
Mathew Leckie,154.94,82.1
Danilo das Neves Pinheiro,175.26,66.2
Solly March,154.94,77.1
Bryan Dabo,185.42,81.2
Fredrik Midtsjø,175.26,69.9
Alejandro Arribas Garrido,182.88,76.2
Duirval Hélton Diniz Cabral,187.96,82.1
Ollie Watkins,154.94,69.9
Renato Tapia,182.88,78
Enzo Pablo Roco Roco,193.04,78.9
Jonas Svensson,170.18,69.9
Lucas Alfonso Orbán Alegre,152.4,78.9
Godfred Donsah,175.26,69.9
Ladislav Krejčí,154.94,68
Scott Sinclair,152.4,69.9
Bojan Jokič,175.26,77.1
Marcus Thuram,193.04,88
Silvio Ezequiel Romero,152.4,76.2
Christian Atsu,165.1,64.9
Christian Träsch,154.94,74.8
Florentin Pogba,187.96,87.1
Sergio Reguilón Rodríguez,152.4,68
Caio Bruno Milaçar Kenedy,170.18,67.1
Marc-Oliver Kempf,185.42,87.1
Daniel Sánchez Ayala,190.5,83.9
Patrick Roberts,170.18,66.2
Guillermo Ortíz,182.88,79.8
Rafał Gikiewicz,190.5,81.2
Rodrigo Rey,190.5,76.2
Yasin Öztekin,152.4,69.9
Daniel João Santos Candeias,152.4,78
Claudio Beauvue,175.26,66.2
Marcelo dos Santos Ferreira,152.4,73.9
Steve von Bergen,182.88,78.9
Joel Obi,175.26,71.2
Rafael da Conceição Leão,187.96,81.2
Pedro K. Medina da Silva,154.94,76.2
Raúl Fernández-Cavada Mateos,195.58,92.1
長友 佑都,170.18,68
Patrik Hrošovský,175.26,69.9
Robert Berić,187.96,83
Nicolás Federico Spolli,193.04,89.8
Liam Moore,185.42,86.2
Diego Falcinelli,185.42,74.8
Jean-Sylvain Claude Babin,154.94,88.9
Jan Kopic,154.94,78.9
Matt Besler,182.88,77.1
Pablo Martinez,182.88,77.1
Renan Bardini Bressan,182.88,74.8
Olcay Şahan,152.4,71.2
Michael Rensing,190.5,91.2
Kalvin Phillips,152.4,72.1
Willem Janssen,185.42,74.8
Eugenio Mena,172.72,73.9
Amato Ciciretti,170.18,62.1
Davidson da Luz Pereira,152.4,62.1
Diogo Filipe Monteiro Pinto Leite,187.96,73
Andrea Raggi,187.96,82.1
Samuel Grandsir,167.64,64
Damir Kreilach,185.42,78
Alan Ruiz,182.88,77.1
Iñigo Pérez Soto,152.4,73.9
Ludovic Lamine Sané,190.5,77.1
Olívio da Rosa,182.88,64.9
Gil Bastião Dias,182.88,78
Ángel Mena,167.64,67.1
Jhon Córdoba,187.96,84.8
Bruno Écuélé Manga,185.42,76.2
Nicola Murru,154.94,73.9
Graeme Shinnie,175.26,72.1
Jens Stryger Larsen,182.88,82.1
Aleksandr Erokhin,195.58,78.9
Luis Robles,185.42,91.2
Andreas Ulmer,175.26,68.9
Fabián Castillo,172.72,68
Ilija Nestorovski,182.88,74.8
Mason Mount,152.4,64
Olarenwaju Ayoba Kayode,175.26,64.9
Matheus Jadson Vidigal Morais,175.26,69.9
Paul Verhaegh,152.4,73.9
Lucas Cavallini,182.88,88.9
Johannes Geis,154.94,81.2
Ricky van Wolfswinkel,185.42,69.9
Kasim Adams Nuhu,190.5,83
Kévin Manuel Rodrigues,170.18,69.9
Jonás  Ramalho Chimeno,154.94,68
Andrey Semenov,190.5,86.2
Gaëtan Charbonnier,187.96,79.8
Luis Carlos Correia Pinto,170.18,62.1
Erik Pieters,185.42,87.1
Hannes Wolf,175.26,68
Joseph Aidoo,152.4,83
Nicolás Júlio Formido Paiva,182.88,77.1
Dimitrios Kourmpelis,154.94,73.9
Jagoš Vuković,195.58,93
Jean André Emanuel Beausejour Coliqueo,152.4,83
Matthias Ostrzolek,152.4,72.1
Jakub Błaszczykowski,175.26,67.1
Denis Bouanga,154.94,71.2
Rubén Botta,175.26,71.2
Darko Lazović,154.94,66.2
Lazar  Marković,175.26,64.9
Fábio Ricardo Gomes Fonseca,175.26,67.1
Ruben Alexandre Rocha Lima,152.4,68.9
宇佐美 貴史,152.4,68.9
Eloy Room,187.96,81.2
Koffi Cheikh Konaté,152.4,74.8
Rubén Alcaraz Jiménez,154.94,76.2
Allan Nyom,187.96,79.8
Yuri Oliveira Ribeiro,152.4,73.9
Mehmet Ekici,154.94,76.2
Víctor Ismael Sosa,154.94,73
Lorenzo António Melgarejo Sanabria,152.4,74.8
William Alves de Oliveira,182.88,79.8
Matěj Vydra,175.26,71.2
Tiago Manuel Dias Correia,190.5,83
Adrián  González Morales,182.88,78
Çağlar Söyüncü,185.42,82.1
Kelechi Iheanacho,182.88,79.8
Marcel Tisserand,190.5,79.8
Anthony Rubén Lozano Colón,185.42,78.9
Luca Waldschmidt,154.94,74.8
Adriano Leandro Soares Taffarel,193.04,88
Sten Michael Grytebust,185.42,82.1
Ivan Strinić,185.42,78
Pedro Miguel Braga Rebocho,170.18,73.9
Jerry Mbakogu,182.88,82.1
Matheus Dória Macedo,187.96,82.1
Musa Çağıran,154.94,82.1
Kaiansu Kei Kamara,187.96,74.8
Stéphane Bahoken,185.42,88
Ben Gibson,185.42,78
José Ignacio Martínez García,175.26,76.2
Andreas Evald Cornelius,193.04,91.2
Maxime Le Marchand,185.42,78
Pape Cheikh Diop Gueye,154.94,68
Şener Özbayraklı,170.18,71.2
Steven Davis,172.72,69.9
Abdul Rahman Baba,152.4,69.9
Ervin Zukanović,190.5,84.8
El-Hadji Baye Oumar Niasse,182.88,82.1
Paul-José M'Poku Ebunge,154.94,78.9
Kevin McDonald,193.04,96.2
Jesus Fabrício Andrade Simões,152.4,73
Soslan Dzhanaev,190.5,87.1
Miloš Degenek,187.96,82.1
Adrien Tameze,154.94,78
Tiago Rafael Maia Silva,170.18,62.1
Éric Bauthéac,170.18,68.9
Yoric Ravet,152.4,78
Duško Tošić,185.42,84.8
Daniele Padelli,190.5,82.1
Bernard Mensah,154.94,64.9
Jonathan Ludovic Biabiany,152.4,73
Ivo Iličević,175.26,63
Harvey Lewis Barnes,175.26,66.2
Chidozie Collins Awaziem,187.96,78
Antonio Manuel Luna Rodríguez,152.4,68
Aurélien Chedjou,182.88,77.1
Djavan da Silva Ferreira,182.88,76.2
Artem Rebrov,193.04,89.8
Georg Margreitter,185.42,84.8
Salvador Sánchez Ponce,175.26,64.9
Pietro Maurício Mendes Abranches,172.72,64
Marco Russ,190.5,92.1
Hendrik Van Crombrugge,187.96,88
