Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 21 Mar 2024 10:36:33 AM

Recipient,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2000-2024,Percentage,Sum total years,Percentage of total
United Kingdom,937,1282,720,769,215,31,375,837,570,399,502,390,595,509,217,423,282,1002,458,402,652,878,863,555,,13863,2.3%,13863,2.3%
Qatar,3,,,,,,,27,,286,30,190,335,82,55,488,596,321,691,2438,963,2077,3384,1805,,13772,2.2%,13772,2.2%
Greece,713,788,402,2163,1098,406,719,1665,482,1228,630,70,19,28,204,728,302,51,39,93,101,241,443,391,,13002,2.1%,13002,2.1%
Singapore,788,248,234,85,380,544,76,397,1115,1415,936,876,749,756,68,153,637,404,547,470,154,204,493,802,,12532,2.0%,12532,2.0%
Israel,354,116,350,189,846,1107,1125,840,680,157,71,86,136,160,549,688,622,535,461,486,349,458,849,857,,12072,2.0%,12072,2.0%
Iraq,,,,,74,196,308,299,382,419,474,621,520,373,629,1489,1823,945,454,145,5,,55,6,,9217,1.5%,9217,1.5%
Indonesia,146,24,63,354,78,33,62,578,249,445,223,258,216,828,1196,437,353,1101,354,237,279,366,86,405,,8370,1.4%,8370,1.4%
Viet Nam,11,97,58,22,299,221,42,8,186,61,161,1016,782,360,1225,869,924,783,604,161,33,245,96,55,,8317,1.4%,8317,1.4%
Taiwan,592,342,291,115,319,695,503,13,11,36,71,173,411,582,1048,600,93,487,92,65,121,163,171,224,,7218,1.2%,7218,1.2%
Norway,229,99,90,9,6,14,557,596,603,571,150,607,147,51,16,143,142,353,520,394,436,523,700,203,,7158,1.2%,7158,1.2%
Italy,278,241,245,580,452,143,384,467,159,94,102,286,191,71,127,237,734,709,275,178,201,211,237,485,,7087,1.2%,7087,1.2%
Ukraine,,,,,,,,,,,,,,,1,22,5,4,70,30,18,46,2789,4012,,6998,1.1%,6998,1.1%
Poland,148,33,256,347,223,103,439,966,646,195,171,138,223,142,258,140,47,128,64,265,144,74,391,1374,,6913,1.1%,6913,1.1%
Canada,576,538,436,153,353,118,113,481,423,104,242,356,207,202,316,408,252,373,185,178,220,288,156,14,,6690,1.1%,6690,1.1%
Morocco,127,11,155,12,14,101,47,27,46,39,309,1406,879,62,572,47,287,605,462,48,16,52,495,461,,6276,1.0%,6276,1.0%
Kuwait,227,67,23,43,2,12,5,288,5,9,85,113,31,73,692,325,159,114,96,55,67,924,2250,434,,6100,1.0%,6100,1.0%
Netherlands,123,164,247,128,130,86,304,217,140,256,181,119,198,505,8,59,76,36,140,494,575,510,733,402,,5832,1.0%,5832,1.0%
Venezuela,108,106,44,15,9,21,380,767,738,366,211,600,689,993,180,124,95,,14,,79,,,81,,5619,0.9%,5619,0.9%
Chile,230,60,74,187,68,446,1093,655,391,329,474,326,61,55,135,135,40,49,74,33,295,57,207,9,,5482,0.9%,5482,0.9%
Brazil,137,631,223,110,85,223,178,188,178,135,256,239,318,225,212,218,117,100,268,132,140,244,484,151,,5192,0.8%,5192,0.8%
Spain,320,144,271,249,300,358,312,343,347,228,272,166,219,155,108,152,104,82,149,35,71,135,198,186,,4902,0.8%,4902,0.8%
Bangladesh,200,274,37,8,32,10,221,80,12,,36,117,184,649,207,640,451,333,158,732,54,54,322,78,,4888,0.8%,4888,0.8%
Thailand,80,116,152,131,120,115,99,8,16,63,60,251,276,377,105,183,342,321,631,291,143,150,251,279,,4561,0.7%,4561,0.7%
Myanmar,16,153,156,100,192,157,177,153,80,63,61,668,398,250,110,252,279,207,192,196,217,67,229,121,,4493,0.7%,4493,0.7%
Malaysia,26,26,153,190,69,58,184,498,493,1284,212,4,18,79,75,118,271,196,93,69,57,133,71,7,,4385,0.7%,4385,0.7%
Afghanistan,,,34,,,33,3,40,148,326,365,633,525,261,332,139,171,236,314,383,234,65,,,,4243,0.7%,4243,0.7%
Azerbaijan,3,,89,,4,59,161,213,33,145,162,568,388,391,631,338,276,291,369,44,51,,19,9,,4242,0.7%,4242,0.7%
Oman,118,32,40,37,49,178,296,12,72,95,31,21,122,492,719,151,422,757,282,88,85,4,5,4,,4111,0.7%,4111,0.7%
Jordan,139,160,132,281,169,79,52,183,160,233,90,214,175,75,197,231,231,369,184,230,157,67,32,11,,3850,0.6%,3850,0.6%
Germany,113,133,71,63,237,199,406,46,278,331,307,84,131,113,95,96,55,43,14,38,101,240,288,204,,3685,0.6%,3685,0.6%
Iran,424,534,441,289,123,59,424,332,63,98,96,93,41,14,14,14,413,3,3,3,2,,,21,,3504,0.6%,3504,0.6%
Syria,49,23,40,64,20,30,95,15,309,220,433,513,526,511,26,22,8,37,199,36,80,7,,,,3262,0.5%,3262,0.5%
South Africa,6,18,,,,262,741,914,493,134,178,208,127,1,50,2,,,,,,,30,30,,3194,0.5%,3194,0.5%
Kazakhstan,121,139,22,,49,44,46,83,28,43,59,63,96,143,83,446,253,218,276,230,269,85,191,125,,3112,0.5%,3112,0.5%
Mexico,215,149,97,20,325,33,78,,23,59,109,225,257,52,85,318,316,209,16,,242,3,,,,2831,0.5%,2831,0.5%
Colombia,60,268,173,145,18,18,54,229,110,263,261,145,207,171,167,193,18,91,16,22,78,44,50,3,,2806,0.5%,2806,0.5%
Finland,472,7,15,242,67,93,132,141,135,42,54,60,79,278,182,278,166,47,87,86,53,38,30,17,,2801,0.5%,2801,0.5%
Romania,21,24,21,17,285,436,60,97,76,56,107,80,21,20,0 ,22,177,88,35,13,189,190,184,328,,2547,0.4%,2547,0.4%
Denmark,50,146,40,50,232,116,84,133,93,130,21,,103,38,170,42,103,53,50,43,63,262,203,261,,2488,0.4%,2488,0.4%
Portugal,3,19,,29,70,158,220,60,145,372,891,170,42,11,3,1,21,8,19,44,45,6,,66,,2400,0.4%,2400,0.4%
Philippines,,10,5,10,34,12,23,16,10,1,3,63,21,83,12,153,228,278,17,185,350,337,314,225,,2389,0.4%,2389,0.4%
France,98,61,38,55,93,2,68,75,4,74,106,43,87,107,17,44,47,85,201,104,225,105,130,274,,2142,0.3%,2142,0.3%
Sudan,,106,50,204,294,134,71,35,130,88,184,175,97,130,66,134,109,65,33,18,,,3,,,2125,0.3%,2125,0.3%
Sweden,206,165,74,66,47,78,120,51,51,17,11,191,207,54,44,26,70,32,7,7,3,122,318,98,,2064,0.3%,2064,0.3%
Yemen,158,70,585,58,248,311,38,66,41,5,261,47,38,23,6,33,7,6,9,,,,1,,,2011,0.3%,2011,0.3%
Bahrain,299,28,54,1,10,66,63,27,21,,98,4,24,69,1,17,26,27,72,21,27,183,377,332,,1846,0.3%,1846,0.3%
Peru,18,10,16,22,47,368,193,172,,43,46,71,5,15,153,211,168,28,103,0 ,28,62,38,22,,1839,0.3%,1839,0.3%
Belarus,,,,,,6,140,,,3,,75,75,75,66,98,120,158,142,333,13,69,225,121,,1719,0.3%,1719,0.3%
Nigeria,36,9,6,66,11,,16,62,33,65,223,63,28,30,232,206,60,41,49,18,85,263,54,58,,1711,0.3%,1711,0.3%
Turkmenistan,,,,18,21,,,,7,36,28,237,112,69,72,170,434,109,,,,377,,,,1688,0.3%,1688,0.3%
NATO**,,18,,,,,116,,,420,,,22,,,,12,25,21,70,465,240,240,,,1649,0.3%,1649,0.3%
New Zealand,,45,17,156,98,,6,81,3,56,78,28,30,26,81,88,,,6,3,146,36,178,405,,1566,0.3%,1566,0.3%
Angola,149,157,148,48,8,38,7,35,29,20,,,,31,2,51,154,111,272,169,51,,46,15,,1542,0.3%,1542,0.3%
Belgium,36,30,48,21,15,3,15,171,191,86,35,23,29,45,97,52,4,7,1,9,90,255,158,86,,1505,0.2%,1505,0.2%
Ethiopia,114,,20,174,239,,,,,,58,76,193,154,33,10,55,51,12,74,25,16,37,,,1340,0.2%,1340,0.2%
Russia,,,,,,,,90,,8,25,10,121,184,207,113,127,94,62,5,1,6,129,134,,1315,0.2%,1315,0.2%
Czechia,13,57,42,94,6,600,46,10,25,6,13,71,22,15,,0 ,,,7,1,8,32,69,148,,1286,0.2%,1286,0.2%
Sri Lanka,293,159,43,34,48,57,96,91,79,21,5,21,,22,5,,,45,100,59,,54,3,5,,1240,0.2%,1240,0.2%
Switzerland,22,67,62,117,203,168,83,108,17,39,48,32,10,6,5,12,73,4,10,10,10,10,15,33,,1165,0.2%,1165,0.2%
Austria,25,15,81,41,56,26,5,269,190,286,7,8,8,6,2,1,13,10,6,17,13,34,4,8,,1130,0.2%,1130,0.2%
Hungary,14,14,,,72,13,253,196,5,4,18,8,,2,7,,14,5,27,16,55,19,39,319,,1099,0.2%,1099,0.2%
Uganda,6,,33,,36,10,5,0 ,14,28,37,468,213,20,2,7,1,22,10,23,76,8,65,,,1082,0.2%,1082,0.2%
Argentina,208,6,15,11,161,3,9,24,21,15,11,16,5,13,6,21,17,45,17,49,7,77,45,22,,823,0.1%,823,0.1%
Lithuania,6,16,14,1,47,11,53,4,27,27,8,1,1,73,10,14,34,7,8,37,116,104,75,99,,791,0.1%,791,0.1%
Ecuador,,50,1,,15,47,47,2,102,77,90,69,88,11,53,27,26,20,5,3,21,15,9,8,,786,0.1%,786,0.1%
Serbia,1,27,,,,,,,,,16,,0 ,,,,23,65,4,84,145,136,172,93,,765,0.1%,765,0.1%
Tunisia,,,44,1,,168,2,,3,,7,7,,40,49,7,39,97,181,15,16,19,21,19,,733,0.1%,733,0.1%
Georgia,6,85,,1,38,95,97,161,132,38,,2,,5,1,,,7,41,6,,,2,1,,719,0.1%,719,0.1%
Armenia,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,,32,29,7,,682,0.1%,682,0.1%
Uzbekistan,,8,9,,,,,,,,30,,,,18,100,55,5,114,77,46,60,22,17,,562,0.1%,562,0.1%
Lebanon,4,,,,,1,,5,1,52,64,1,31,27,6,48,28,50,53,58,45,43,30,5,,552,0.1%,552,0.1%
Tanzania,2,,1,51,,10,12,1,,29,,78,115,118,14,20,20,2,17,,8,52,,,,549,0.1%,549,0.1%
Bulgaria,,,,2,12,132,22,48,117,119,8,29,5,,,5,,,,2,44,1,4,,,549,0.1%,549,0.1%
Cyprus,4,180,66,6,16,18,22,17,,,44,41,6,,,,,30,,19,30,11,,,,509,0.1%,509,0.1%
Brunei,,5,1,0 ,0 ,1,1,,,33,33,229,20,15,121,36,,,,,,0 ,,11,,507,0.1%,507,0.1%
DR Congo,88,11,18,,,26,24,,18,37,155,,15,1,,3,43,,1,,6,,,51,,498,0.1%,498,0.1%
Senegal,,,,,,16,15,12,6,6,4,16,,,9,24,40,48,15,40,22,21,28,170,,491,0.1%,491,0.1%
Croatia,,57,2,24,8,,,20,103,4,11,19,19,,27,11,20,13,3,5,,,29,88,,463,0.1%,463,0.1%
Kenya,15,,,,,,,11,,34,96,35,68,1,17,30,32,17,6,18,71,4,1,,,454,0.1%,454,0.1%
Latvia,3,14,4,25,13,5,9,51,46,11,16,27,9,5,5,3,28,30,21,31,10,15,34,33,,444,0.1%,444,0.1%
Chad,,16,,,,,18,30,82,36,42,1,4,59,58,1,2,6,7,1,4,43,5,26,,442,0.1%,442,0.1%
Ireland,0 ,42,21,,25,5,13,27,32,,4,,,,40,43,43,2,5,36,10,,1,77,,426,0.1%,426,0.1%
Estonia,27,,2,14,11,26,4,18,28,42,13,1,2,18,2,18,29,33,17,18,25,20,18,18,,405,0.1%,405,0.1%
Equatorial Guinea,,7,,,7,11,7,28,30,68,3,56,60,2,92,,,,20,,,0 ,,,,390,0.1%,390,0.1%
Mali,7,,1,3,,13,,8,3,10,,0 ,9,7,1,,22,32,25,18,44,38,62,81,,385,0.1%,385,0.1%
Cambodia,,,,,,,14,56,,4,34,,78,68,,,,,5,1,,35,32,54,,380,0.1%,380,0.1%
Ghana,1,12,1,6,37,0 ,0 ,16,,11,2,76,39,52,14,13,22,,0 ,2,10,,40,8,,365,0.1%,365,0.1%
Cameroon,,6,10,,,5,3,,1,,10,,9,139,124,9,23,8,2,4,2,4,2,4,,364,0.1%,364,0.1%
Zambia,43,,2,,,0 ,30,5,2,,,1,61,,,15,44,46,,43,3,20,2,5,,321,0.1%,321,0.1%
Libya HoR*,,,,,,,,,,,,,,,17,37,13,6,11,31,188,5,5,,,312,0.1%,312,0.1%
Libya,,,,,,1,16,16,16,22,37,8,73,116,,,,,,,,,,,,304,0.0%,304,0.0%
Eritrea,20,57,18,17,80,98,,4,,,,,,,,,,,,,,,,,,294,0.0%,294,0.0%
unknown recipient(s),,2,,0 ,0 ,,,,12,,8,6,,32,33,13,32,17,31,48,36,7,6,3,,286,0.0%,286,0.0%
Mongolia,,,,,,,,,15,,64,3,78,,,73,,,,17,,33,3,,,284,0.0%,284,0.0%
Laos,7,,,0 ,,4,,,7,26,,15,19,19,,7,,2,123,27,17,3,,2,,277,0.0%,277,0.0%
Namibia,,21,11,,16,,75,,25,15,3,1,57,9,2,,3,35,,,,,,,,273,0.0%,273,0.0%
Slovakia,0 ,,29,,1,4,,0 ,0 ,9,9,,2,5,,,,47,34,15,25,1,3,74,,257,0.0%,257,0.0%
North Korea,63,73,54,35,8,5,5,5,5,4,1,,,,,,,,,,,,,,,255,0.0%,255,0.0%
Uruguay,4,,13,,,20,8,3,78,29,20,,,3,9,13,,,10,,25,3,7,5,,250,0.0%,250,0.0%
South Sudan,,,,,,,,37,44,1,2,65,2,10,36,19,8,,,,,8,10,,,241,0.0%,241,0.0%
Botswana,53,15,1,10,9,,,,,10,10,,6,8,,,5,,5,7,71,16,11,1,,238,0.0%,238,0.0%
Cote d'Ivoire,0 ,,32,61,9,,,,,,,,,,6,5,5,14,10,15,3,15,21,34,,233,0.0%,233,0.0%
Northern Alliance (Afghanistan)*,20,210,,,,,,,,,,,,,,,,,,,,,,,,230,0.0%,230,0.0%
Bolivia,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,1,34,26,,,,,225,0.0%,225,0.0%
Rwanda,15,,,,,,3,20,8,11,,,5,15,15,29,,8,3,1,,58,16,,,206,0.0%,206,0.0%
Slovenia,2,41,2,17,17,3,3,2,,10,40,28,,,1,,,,,,,9,,26,,200,0.0%,200,0.0%
Mauritania,31,,27,7,,,,,,,17,5,11,,8,1,35,,1,34,,6,,,,182,0.0%,182,0.0%
Trinidad and Tobago,11,0 ,2,,,,,6,,,24,12,12,,,46,30,,,,,32,,,,175,0.0%,175,0.0%
Nicaragua,,,,,,,,14,,15,,,,,13,14,86,7,,13,,,,,,161,0.0%,161,0.0%
Dominican Republic,13,5,0 ,8,35,2,,,,10,51,12,,,,1,0 ,,,,4,,5,9,,156,0.0%,156,0.0%
Nepal,,12,10,10,36,7,,,1,,,3,,,5,15,8,1,7,36,,0 ,,,,149,0.0%,149,0.0%
North Macedonia,17,118,,,,,0 ,,,,,,0 ,1,,,0 ,,,,,,2,4,,142,0.0%,142,0.0%
Burkina Faso,,,,,,12,4,4,,3,0 ,16,3,,,5,7,2,24,7,2,28,10,12,,139,0.0%,139,0.0%
Niger,,,,6,,,,,8,1,,,,12,3,10,0 ,3,1,5,19,16,33,15,,132,0.0%,132,0.0%
Gabon,,,,,7,,20,18,,,27,5,1,2,,5,3,,,26,,2,,16,,132,0.0%,132,0.0%
Jamaica,,,,,,10,10,13,2,,1,,,1,,2,22,,19,3,10,28,,10,,131,0.0%,131,0.0%
Congo,0 ,,,8,7,4,1,0 ,,4,28,5,23,35,6,2,,,0 ,3,,3,,,,130,0.0%,130,0.0%
Mozambique,,,,1,,,,,,,,0 ,0 ,9,16,5,45,,3,22,1,18,5,3,,129,0.0%,129,0.0%
Djibouti,1,,3,,4,7,,,,,,,6,5,15,1,11,,,8,1,46,19,0 ,,127,0.0%,127,0.0%
Malta,0 ,0 ,4,,4,18,,,,,,8,8,,12,10,6,8,,,,,,45,,122,0.0%,122,0.0%
Zimbabwe,8,10,,16,14,25,25,,,,,,,,,,,,,,,,,20,,117,0.0%,117,0.0%
Luxembourg,,,,1,,,,,,10,10,,1,,,,1,1,,3,88,,0 ,1,,115,0.0%,115,0.0%
Bahamas,33,,,,,3,,,,1,,,,,30,16,20,12,,,,,,,,115,0.0%,115,0.0%
Central African Republic,,,,,,,9,,0 ,,,7,,,,,,,2,,1,44,2,43,,108,0.0%,108,0.0%
Kyrgyzstan,,,,10,6,3,2,,,,,,,,,4,8,12,1,15,,2,14,23,,99,0.0%,99,0.0%
Togo,,,,,,,,,,,1,,,,15,,,,,6,5,10,60,,,96,0.0%,96,0.0%
Tajikistan,,,,,,,13,7,,34,,,,4,,,7,19,4,5,,,3,,,95,0.0%,95,0.0%
Mauritius,,,,,10,,,,,,,,,,28,,28,19,,,,1,4,,,89,0.0%,89,0.0%
African Union**,,,,,,56,9,,10,,,,,2,,2,,,0 ,3,,,7,,,89,0.0%,89,0.0%
El Salvador,,,19,10,,,,,3,2,2,2,4,1,21,,,1,1,2,4,4,7,5,,89,0.0%,89,0.0%
Seychelles,,,,,,15,,,,,,8,,10,16,,8,,10,,,19,,,,84,0.0%,84,0.0%
Honduras,,,,,,,,,0 ,,,0 ,0 ,20,13,8,,10,1,23,0 ,4,,,,80,0.0%,80,0.0%
United Nations**,30,,,,2,1,2,1,0 ,,,,,5,23,3,9,,,,,,,,,76,0.0%,76,0.0%
Hezbollah (Lebanon)*,0 ,0 ,3,0 ,1,0 ,9,,,30,30,,,,,,,,,,,,,,,74,0.0%,74,0.0%
Guatemala,,,,,,,,,0 ,,,,2,,,33,,,4,14,,,10,5,,68,0.0%,68,0.0%
Albania,,,,2,,7,,5,,,,,15,7,7,7,,2,2,5,1,,,,,61,0.0%,61,0.0%
Guinea,26,6,,2,,1,,0 ,,,5,1,4,,5,,,2,1,4,,1,,,,57,0.0%,57,0.0%
Iceland,,,,,,,,,,,,50,,,,,,,,,,,,,,50,0.0%,50,0.0%
Benin,,,7,,,,,3,,1,0 ,0 ,20,2,,,1,,,,1,,3,11,,49,0.0%,49,0.0%
Houthi rebels (Yemen)*,,,,,,,,,,,,,,,,,,15,,,,,13,12,,39,0.0%,39,0.0%
Paraguay,,6,,,4,1,,,,,3,8,7,0 ,,,,,,2,,5,,,,36,0.0%,36,0.0%
Libya GNC,,,,,,,,,,,,,,,,,2,,,33,0 ,,,,,36,0.0%,36,0.0%
Papua New Guinea,,,,,,,,,,,,,,,3,,,0 ,8,,,14,,9,,34,0.0%,34,0.0%
Timor-Leste,,,,,,,,,,,18,14,,,,,,,,,,,,,,32,0.0%,32,0.0%
Kosovo,,,,,,,,,,,,,,,1,,,,1,,3,10,1,14,,31,0.0%,31,0.0%
Maldives,,,,,,,15,,,,5,,,5,,,,,,2,3,2,,,,30,0.0%,30,0.0%
Barbados,,,,,,,,10,10,10,,,,,,,,,,,,,,,,30,0.0%,30,0.0%
Malawi,,,,,,,,,3,,,,1,2,2,2,0 ,,,,,,19,,,29,0.0%,29,0.0%
Guyana,,7,3,,,,,,0 ,,,,,,,,,,0 ,2,,5,,10,,27,0.0%,27,0.0%
Palestine,,,,,,,,2,,15,5,,,,,,1,,,1,,,,2,,25,0.0%,25,0.0%
Somalia,,,,,,,,,,,,,,3,,1,2,2,,8,2,2,,4,,24,0.0%,24,0.0%
Ukraine Rebels*,,,,,,,,,,,,,,,24,,,,,,,,,,,24,0.0%,24,0.0%
Montenegro,,,,,,,,,,,,,,,,1,0 ,,15,,5,1,2,,,24,0.0%,24,0.0%
Gambia,,,,,5,,,,,16,,,,,,,,,,,,,1,0 ,,22,0.0%,22,0.0%
Burundi,,1,3,,,,,,,1,2,,5,,,1,3,,,2,,,,,,20,0.0%,20,0.0%
Tonga,,,,,,,,,,,,,,,,5,,,,7,7,,,,,19,0.0%,19,0.0%
Cabo Verde,1,,,,,,,,,2,,,10,,,,,,,3,,,,,,15,0.0%,15,0.0%
Sierra Leone,,,,,,,9,,,,,2,0 ,1,,1,2,,,,,,,,,15,0.0%,15,0.0%
Micronesia,,,,,,,,,,,,,,,,,,,,,,,7,7,,14,0.0%,14,0.0%
Solomon Islands,,,,,,,,,,,,,,,,,,,,7,,7,,,,14,0.0%,14,0.0%
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,0 ,,0 ,0 ,12,,,,14,0.0%,14,0.0%
Moldova,,,,,,,,,,,,,,,,,,,,,,,,13,,13,0.0%,13,0.0%
Suriname,2,,,,,,,,,,,,0 ,7,,3,,,,,,,,,,11,0.0%,11,0.0%
Lesotho,,6,,,1,,1,,,,,,,,,,,1,1,1,,,,,,11,0.0%,11,0.0%
Liberia,9,,,,,,,,,,,,,,,,,,,,0 ,,,,,9,0.0%,9,0.0%
Fiji,,,,,,,,,,,,,,,,,,1,,,7,,,,,8,0.0%,8,0.0%
Cuba,,,,,8,,,,,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
Costa Rica,,,,,,,,,,,,,,,,,,,0 ,8,,,,,,8,0.0%,8,0.0%
Kiribati,,,,,,,,,,,,,,,,,,,,,,7,,,,7,0.0%,7,0.0%
Palau,,,,,,,,,,,,,,,,,,,,,7,,,,,7,0.0%,7,0.0%
Samoa,,,,,,,,,,,,,,,,,,,,7,,,,,,7,0.0%,7,0.0%
Tuvalu,,,,,,,,,,,,,,,,,,,,7,,,,,,7,0.0%,7,0.0%
Vanuatu,,,,,,,,,,,,,,,,,,,,,,7,,,,7,0.0%,7,0.0%
Comoros,,,,,,,,,6,,,,1,,,,,,,,,,,,,7,0.0%,7,0.0%
Bhutan,,,,,0 ,,,,,,,,,,,1,1,,,,,4,,,,6,0.0%,6,0.0%
Syria rebels*,,,,,,,,,,,,,1,1,0 ,,,2,,1,,,,,,5,0.0%,5,0.0%
eSwatini,1,1,,,,,,,,,,,,,,,,,,,2,,,,,4,0.0%,4,0.0%
LTTE (Sri Lanka)*,1,,3,,,0 ,,,,,,,,,,,,,,,,,,,,4,0.0%,4,0.0%
Belize,1,,,,,,,,,,,,,,,,2,,,,,,,1,,4,0.0%,4,0.0%
Hamas (Palestine)*,,,,,,,,,,,1,2,,,0 ,,,,,,,,,,,3,0.0%,3,0.0%
United Wa State (Myanmar)*,,1,,,,,,,,,,,,,2,,,,,,,,,,,3,0.0%,3,0.0%
Madagascar,,,,,,,,,,,,,,,,,,,1,1,1,,,,,2,0.0%,2,0.0%
Kurdistan Regional Government (Iraq)*,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,0.0%,2,0.0%
OSCE**,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,0.0%,1,0.0%
Darfur rebels (Sudan)*,,,,,,,,,,,,,,,,,1,,0 ,,,,,,,1,0.0%,1,0.0%
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,,1,0.0%,1,0.0%
NTC (Libya)*,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0.0%,1,0.0%
NLA (Macedonia)*,,0 ,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
PIJ (Israel/Palestine)*,,,,,,,,,,,,,0 ,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
PKK (Turkiye)*,,,,,,,,,,,,,,,,0 ,,,,,,,,,,0 ,0.0%,0 ,0.0%
Western Sahara,,,,,,,,,,,,,,,,,0 ,,,,,,,,,0 ,0.0%,0 ,0.0%
PRC (Israel/Palestine)*,,,,,,,,,,,,,,,0 ,,,,,,,,,,,0 ,0.0%,0 ,0.0%
LRA (Uganda)*,,,0 ,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
unknown rebel group*,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
UIC (Somalia)*,,,,,,,0 ,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
Total world import,19416,18742,17813,19052,21254,21365,24416,26542,24196,24449,25937,30097,27913,27126,27023,28353,30784,31200,27380,27219,23758,26352,33544,29104,,613035,100%,613035,

