,height_cm,weight_kgs
439,187.96,82.1
440,182.88,77.1
441,187.96,74.8
442,172.72,73.0
443,170.18,67.1
444,182.88,76.2
445,170.18,64.9
446,170.18,66.2
447,182.88,81.2
448,154.94,69.9
449,182.88,73.9
450,175.26,73.0
451,187.96,71.2
452,185.42,82.1
453,190.5,87.1
454,154.94,67.1
455,182.88,77.1
456,182.88,62.1
457,190.5,88.0
458,185.42,74.8
459,187.96,89.8
460,154.94,76.2
461,175.26,69.9
462,187.96,83.0
463,152.4,67.1
464,175.26,68.9
465,187.96,83.9
466,170.18,73.9
467,182.88,77.1
468,182.88,82.1
469,182.88,83.0
470,175.26,72.1
471,187.96,83.9
472,175.26,68.0
473,152.4,64.9
474,182.88,77.1
475,172.72,69.9
476,172.72,68.9
477,187.96,74.8
478,175.26,64.9
479,175.26,73.9
480,152.4,69.9
481,175.26,71.2
482,172.72,78.0
483,182.88,81.2
484,185.42,83.0
485,182.88,79.8
486,190.5,86.2
487,152.4,74.8
488,187.96,76.2
489,182.88,74.8
490,182.88,79.8
491,172.72,68.0
492,175.26,64.0
493,182.88,72.1
494,175.26,72.1
495,170.18,62.1
496,175.26,71.2
497,154.94,74.8
498,182.88,78.0
499,152.4,73.9
500,170.18,68.9
501,187.96,74.8
502,175.26,67.1
503,154.94,83.9
504,152.4,69.9
505,187.96,78.9
506,182.88,78.9
507,182.88,78.0
508,182.88,81.2
509,170.18,66.2
510,167.64,64.9
511,154.94,71.2
512,193.04,87.1
513,152.4,69.9
514,170.18,63.0
515,172.72,66.2
516,182.88,73.9
517,190.5,78.0
518,154.94,73.9
519,154.94,73.0
520,152.4,78.9
521,182.88,76.2
522,175.26,74.8
523,185.42,83.9
524,182.88,74.8
525,175.26,73.9
526,182.88,79.8
527,152.4,78.0
528,154.94,79.8
529,175.26,69.9
530,170.18,60.8
531,182.88,73.0
532,182.88,67.1
533,187.96,73.9
534,187.96,86.2
535,152.4,73.9
536,175.26,71.2
537,190.5,79.8
538,175.26,72.1
539,182.88,79.8
540,170.18,69.9
541,182.88,81.2
542,182.88,83.0
543,172.72,73.0
544,172.72,69.9
545,182.88,83.0
546,190.5,82.1
547,172.72,73.0
548,190.5,77.1
549,175.26,72.1
550,175.26,69.9
551,190.5,86.2
552,175.26,68.0
553,187.96,78.0
554,195.58,93.9
555,152.4,73.0
556,175.26,71.2
557,170.18,64.0
558,154.94,78.0
559,185.42,86.2
560,152.4,64.9
561,154.94,82.1
562,175.26,66.2
563,154.94,77.1
564,185.42,81.2
565,175.26,69.9
566,182.88,76.2
567,187.96,82.1
568,154.94,69.9
569,182.88,78.0
570,193.04,78.9
571,170.18,69.9
572,152.4,78.9
573,175.26,69.9
574,154.94,68.0
575,152.4,69.9
576,175.26,77.1
577,193.04,88.0
578,152.4,76.2
579,165.1,64.9
580,154.94,74.8
581,187.96,87.1
582,152.4,68.0
583,170.18,67.1
584,185.42,87.1
585,190.5,83.9
586,170.18,66.2
587,182.88,79.8
588,190.5,81.2
589,190.5,76.2
590,152.4,69.9
591,152.4,78.0
592,175.26,66.2
593,152.4,73.9
594,182.88,78.9
595,175.26,71.2
596,187.96,81.2
597,154.94,76.2
598,195.58,92.1
599,170.18,68.0
600,175.26,69.9
601,187.96,83.0
602,193.04,89.8
603,185.42,86.2
604,185.42,74.8
605,154.94,88.9
606,154.94,78.9
607,182.88,77.1
608,182.88,77.1
609,182.88,74.8
610,152.4,71.2
611,190.5,91.2
612,152.4,72.1
613,185.42,74.8
614,172.72,73.9
615,170.18,62.1
616,152.4,62.1
617,187.96,73.0
618,187.96,82.1
619,167.64,64.0
620,185.42,78.0
621,182.88,77.1
622,152.4,73.9
623,190.5,77.1
624,182.88,64.9
625,182.88,78.0
626,167.64,67.1
627,187.96,84.8
628,185.42,76.2
629,154.94,73.9
630,175.26,72.1
631,182.88,82.1
632,195.58,78.9
633,185.42,91.2
634,175.26,68.9
635,172.72,68.0
636,182.88,74.8
637,152.4,64.0
638,175.26,64.9
639,175.26,69.9
640,152.4,73.9
641,182.88,88.9
642,154.94,81.2
643,185.42,69.9
644,190.5,83.0
645,170.18,69.9
646,154.94,68.0
647,190.5,86.2
648,187.96,79.8
649,170.18,62.1
650,185.42,87.1
651,175.26,68.0
652,152.4,83.0
653,182.88,77.1
654,154.94,73.9
655,195.58,93.0
656,152.4,83.0
657,152.4,72.1
658,175.26,67.1
659,154.94,71.2
660,175.26,71.2
661,154.94,66.2
662,175.26,64.9
663,175.26,67.1
664,152.4,68.9
665,152.4,68.9
666,187.96,81.2
667,152.4,74.8
668,154.94,76.2
669,187.96,79.8
670,152.4,73.9
671,154.94,76.2
672,154.94,73.0
673,152.4,74.8
674,182.88,79.8
675,175.26,71.2
676,190.5,83.0
677,182.88,78.0
678,185.42,82.1
679,182.88,79.8
680,190.5,79.8
681,185.42,78.9
682,154.94,74.8
683,193.04,88.0
684,185.42,82.1
685,185.42,78.0
686,170.18,73.9
687,182.88,82.1
688,187.96,82.1
689,154.94,82.1
690,187.96,74.8
691,185.42,88.0
692,185.42,78.0
693,175.26,76.2
694,193.04,91.2
695,185.42,78.0
696,154.94,68.0
697,170.18,71.2
698,172.72,69.9
699,152.4,69.9
700,190.5,84.8
701,182.88,82.1
702,154.94,78.9
703,193.04,96.2
704,152.4,73.0
705,190.5,87.1
706,187.96,82.1
707,154.94,78.0
708,170.18,62.1
709,170.18,68.9
710,152.4,78.0
711,185.42,84.8
712,190.5,82.1
713,154.94,64.9
714,152.4,73.0
715,175.26,63.0
716,175.26,66.2
717,187.96,78.0
718,152.4,68.0
719,182.88,77.1
720,182.88,76.2
721,193.04,89.8
722,185.42,84.8
723,175.26,64.9
724,172.72,64.0
725,190.5,92.1
726,187.96,88.0
727,152.4,73.0
728,175.26,66.2
729,175.26,74.8
730,175.26,72.1
731,175.26,69.9
732,154.94,73.0
733,152.4,74.8
734,152.4,77.1
735,175.26,69.9
736,182.88,82.1
737,185.42,78.9
738,170.18,73.9
739,187.96,78.0
740,152.4,74.8
741,152.4,66.2
742,154.94,69.9
743,182.88,78.9
744,185.42,78.0
745,190.5,82.1
746,182.88,73.9
747,172.72,64.9
748,182.88,79.8
749,154.94,66.2
750,154.94,64.0
751,152.4,74.8
752,185.42,71.2
753,170.18,64.0
754,170.18,69.9
755,187.96,82.1
756,190.5,82.1
757,182.88,71.2
758,175.26,71.2
759,187.96,79.8
760,187.96,79.8
761,170.18,67.1
762,187.96,77.1
763,175.26,69.9
764,193.04,83.9
765,154.94,74.8
766,152.4,68.0
767,154.94,69.9
768,190.5,91.2
769,190.5,74.8
770,175.26,67.1
771,187.96,74.8
772,167.64,63.0
773,175.26,72.1
774,185.42,81.2
775,182.88,78.9
776,182.88,78.9
777,198.12,91.2
778,152.4,78.0
779,182.88,73.9
780,152.4,78.0
781,198.12,84.8
782,175.26,74.8
783,187.96,73.9
784,187.96,83.9
785,154.94,73.9
786,190.5,69.9
787,182.88,78.0
788,187.96,74.8
789,185.42,69.9
790,182.88,73.0
791,175.26,73.0
792,185.42,82.1
793,185.42,86.2
794,185.42,73.0
795,175.26,71.2
796,172.72,73.0
797,190.5,79.8
798,187.96,83.0
799,190.5,87.1
800,193.04,88.0
801,152.4,73.0
802,152.4,72.1
803,187.96,88.0
804,175.26,68.9
805,175.26,73.9
806,187.96,76.2
807,152.4,71.2
808,154.94,78.0
809,182.88,72.1
810,190.5,83.9
811,187.96,69.9
812,152.4,68.0
813,187.96,81.2
814,185.42,82.1
815,187.96,79.8
816,175.26,73.0
817,152.4,71.2
818,152.4,64.9
819,187.96,86.2
820,187.96,82.1
821,167.64,64.9
822,172.72,74.8
823,187.96,79.8
824,187.96,73.9
825,187.96,82.1
826,182.88,89.8
827,175.26,68.0
828,175.26,72.1
829,187.96,79.8
830,187.96,83.9
831,190.5,84.8
832,172.72,66.2
833,175.26,64.0
834,172.72,64.0
835,190.5,82.1
836,175.26,74.8
837,187.96,68.9
838,152.4,72.1
839,154.94,82.1
840,152.4,66.2
841,193.04,88.9
842,185.42,79.8
843,172.72,67.1
844,185.42,83.0
845,152.4,73.9
846,172.72,64.0
847,185.42,74.8
848,187.96,81.2
849,175.26,71.2
850,182.88,79.8
851,152.4,73.9
852,172.72,69.9
853,152.4,79.8
854,175.26,68.0
855,195.58,92.1
856,175.26,66.2
857,187.96,78.0
858,167.64,62.1
859,182.88,69.9
860,152.4,78.0
861,170.18,66.2
862,175.26,72.1
863,190.5,78.0
864,182.88,73.9
865,187.96,78.0
866,154.94,68.0
867,154.94,69.9
868,182.88,84.8
869,172.72,64.0
870,182.88,73.9
871,175.26,73.9
872,185.42,86.2
873,182.88,78.0
874,175.26,69.9
875,172.72,74.8
876,152.4,74.8
877,175.26,74.8
878,152.4,68.9
879,182.88,78.9
880,170.18,60.8
881,193.04,84.8
882,175.26,76.2
883,170.18,68.9
884,187.96,88.0
885,170.18,58.1
886,185.42,78.0
887,187.96,79.8
888,175.26,69.9
889,165.1,67.1
890,175.26,68.9
891,182.88,83.0
892,154.94,79.8
893,175.26,74.8
894,172.72,63.0
895,187.96,88.0
896,172.72,72.1
897,185.42,82.1
898,152.4,67.1
899,185.42,79.8
900,175.26,68.9
901,187.96,77.1
902,187.96,83.0
903,193.04,88.0
904,175.26,71.2
905,175.26,68.9
906,175.26,74.8
907,167.64,71.2
908,170.18,67.1
909,187.96,88.9
910,154.94,71.2
911,152.4,67.1
912,154.94,73.0
913,182.88,73.0
914,175.26,76.2
915,187.96,83.9
916,152.4,78.0
917,175.26,72.1
918,190.5,88.9
919,167.64,59.0
920,182.88,78.0
921,167.64,64.0
922,187.96,88.0
923,187.96,73.9
924,182.88,77.1
925,193.04,86.2
926,182.88,76.2
927,154.94,77.1
928,154.94,67.1
929,152.4,73.0
930,154.94,67.1
931,187.96,79.8
932,154.94,83.0
933,193.04,88.9
934,154.94,81.2
935,182.88,81.2
936,152.4,78.0
937,190.5,82.1
938,185.42,72.1
939,175.26,68.9
940,182.88,73.0
941,182.88,77.1
942,193.04,91.2
943,152.4,67.1
944,185.42,77.1
945,172.72,60.8
946,175.26,72.1
947,187.96,83.9
948,175.26,76.2
949,182.88,79.8
950,182.88,78.9
951,187.96,83.0
952,187.96,81.2
953,154.94,81.2
954,154.94,69.9
955,182.88,78.0
956,154.94,68.9
957,154.94,71.2
958,182.88,84.8
959,175.26,77.1
960,187.96,79.8
961,182.88,81.2
962,185.42,79.8
963,167.64,83.9
964,152.4,73.9
965,154.94,73.0
966,198.12,82.1
967,187.96,84.8
968,152.4,71.2
969,172.72,68.0
970,152.4,76.2
971,170.18,68.9
972,185.42,83.9
973,190.5,88.9
974,185.42,79.8
975,152.4,76.2
976,175.26,76.2
977,175.26,69.9
978,154.94,79.8
979,185.42,78.0
980,154.94,73.0
981,182.88,83.0
982,190.5,89.8
983,187.96,73.0
984,185.42,86.2
985,154.94,79.8
986,185.42,78.0
987,182.88,74.8
988,154.94,73.0
989,152.4,77.1
990,154.94,72.1
991,190.5,77.1
992,185.42,81.2
993,185.42,82.1
994,185.42,73.0
995,187.96,78.9
996,190.5,88.0
997,187.96,84.8
998,182.88,68.0
999,154.94,72.1
1000,185.42,78.0
1001,170.18,69.9
1002,187.96,78.0
1003,175.26,62.1
1004,172.72,66.2
1005,185.42,77.1
1006,167.64,69.9
1007,193.04,93.0
1008,175.26,78.0
1009,182.88,73.0
1010,154.94,76.2
1011,170.18,59.9
1012,185.42,83.0
1013,182.88,79.8
1014,152.4,71.2
1015,190.5,93.0
1016,152.4,72.1
1017,187.96,78.9
1018,182.88,78.0
1019,172.72,72.1
1020,182.88,69.9
1021,185.42,74.8
1022,167.64,58.1
1023,170.18,60.8
1024,182.88,82.1
1025,187.96,81.2
1026,175.26,73.9
1027,154.94,78.9
1028,182.88,78.0
1029,152.4,69.9
1030,152.4,73.0
1031,172.72,81.2
1032,185.42,76.2
1033,152.4,77.1
1034,172.72,73.9
1035,175.26,60.8
1036,152.4,78.9
1037,152.4,76.2
1038,175.26,73.9
1039,182.88,81.2
1040,154.94,67.1
1041,185.42,73.9
1042,187.96,74.8
1043,172.72,66.2
1044,190.5,86.2
1045,154.94,68.9
1046,152.4,71.2
1047,182.88,82.1
1048,187.96,86.2
1049,182.88,77.1
1050,193.04,86.2
1051,182.88,78.0
1052,185.42,88.0
1053,175.26,64.9
1054,152.4,73.9
1055,154.94,73.0
1056,185.42,69.9
1057,152.4,78.9
1058,172.72,67.1
1059,170.18,59.9
1060,187.96,79.8
1061,172.72,63.0
1062,154.94,69.9
1063,152.4,72.1
1064,193.04,84.8
1065,185.42,76.2
1066,154.94,68.9
1067,175.26,73.0
1068,152.4,72.1
1069,154.94,74.8
1070,187.96,83.9
1071,152.4,73.0
1072,187.96,77.1
1073,152.4,77.1
1074,170.18,68.0
1075,175.26,69.9
1076,152.4,68.9
1077,175.26,78.9
1078,185.42,82.1
1079,175.26,78.9
1080,170.18,73.9
1081,154.94,73.9
1082,154.94,77.1
1083,187.96,83.9
1084,187.96,73.9
1085,185.42,79.8
1086,182.88,77.1
1087,185.42,83.0
1088,190.5,84.8
1089,190.5,89.8
1090,152.4,81.2
1091,182.88,71.2
1092,167.64,66.2
1093,190.5,69.9
1094,175.26,69.9
1095,185.42,73.9
1096,190.5,84.8
1097,152.4,72.1
1098,187.96,82.1
1099,190.5,78.9
1100,193.04,78.0
1101,154.94,74.8
1102,154.94,82.1
1103,172.72,63.0
1104,187.96,78.0
1105,190.5,88.0
1106,187.96,83.0
1107,182.88,67.1
1108,152.4,73.0
1109,182.88,83.0
1110,175.26,72.1
1111,182.88,74.8
1112,187.96,84.8
1113,182.88,79.8
1114,154.94,78.9
1115,187.96,68.0
1116,152.4,69.9
1117,185.42,78.9
1118,182.88,87.1
1119,175.26,64.0
1120,185.42,71.2
1121,182.88,74.8
1122,190.5,87.1
1123,182.88,77.1
1124,187.96,78.0
1125,182.88,81.2
1126,190.5,86.2
1127,193.04,88.9
1128,152.4,69.9
1129,182.88,68.9
1130,182.88,78.0
1131,175.26,73.0
1132,172.72,71.2
1133,154.94,82.1
1134,154.94,76.2
1135,182.88,83.9
1136,185.42,76.2
1137,185.42,73.9
1138,152.4,69.9
1139,175.26,82.1
1140,187.96,76.2
1141,175.26,67.1
1142,182.88,84.8
1143,167.64,62.1
1144,187.96,81.2
1145,162.56,64.0
1146,190.5,78.9
1147,187.96,87.1
1148,182.88,73.9
1149,152.4,66.2
1150,152.4,76.2
1151,152.4,71.2
1152,182.88,79.8
1153,185.42,83.9
1154,182.88,73.9
1155,200.66,96.2
1156,154.94,66.2
1157,185.42,78.0
1158,193.04,84.8
1159,154.94,71.2
1160,175.26,68.0
1161,175.26,73.9
1162,193.04,83.9
1163,190.5,77.1
1164,185.42,84.8
1165,182.88,86.2
1166,187.96,79.8
1167,193.04,89.8
1168,185.42,79.8
1169,175.26,73.9
1170,175.26,73.9
1171,182.88,83.0
1172,172.72,69.9
1173,170.18,59.9
1174,172.72,69.9
1175,154.94,73.0
1176,190.5,74.8
1177,175.26,69.9
1178,172.72,66.2
1179,175.26,76.2
1180,154.94,72.1
1181,172.72,71.2
1182,152.4,78.9
1183,187.96,88.0
1184,175.26,73.0
1185,182.88,73.9
1186,152.4,72.1
1187,170.18,66.2
1188,175.26,68.0
1189,185.42,86.2
1190,152.4,73.0
1191,152.4,76.2
1192,185.42,79.8
1193,190.5,89.8
1194,175.26,69.9
1195,152.4,69.9
1196,167.64,68.0
1197,187.96,82.1
1198,175.26,69.9
1199,175.26,69.9
1200,182.88,78.0
1201,198.12,87.1
1202,185.42,81.2
1203,175.26,69.9
1204,152.4,78.9
1205,182.88,76.2
1206,198.12,84.8
1207,182.88,73.0
1208,167.64,68.9
1209,190.5,83.9
1210,182.88,74.8
1211,175.26,72.1
1212,175.26,72.1
1213,165.1,59.9
1214,152.4,64.0
1215,172.72,62.1
1216,154.94,69.9
1217,182.88,77.1
1218,154.94,77.1
1219,182.88,78.0
1220,152.4,72.1
1221,182.88,78.9
1222,190.5,78.0
1223,152.4,64.9
1224,187.96,74.8
1225,193.04,84.8
1226,170.18,68.9
1227,185.42,83.0
1228,193.04,88.0
1229,195.58,91.2
1230,193.04,78.9
1231,175.26,78.9
1232,154.94,74.8
1233,167.64,64.0
1234,182.88,78.0
1235,172.72,58.1
1236,187.96,83.9
1237,185.42,82.1
1238,152.4,74.8
1239,193.04,88.0
1240,182.88,79.8
1241,187.96,79.8
1242,165.1,62.1
1243,187.96,73.9
1244,187.96,72.1
1245,170.18,67.1
1246,187.96,79.8
1247,190.5,86.2
1248,175.26,71.2
1249,154.94,81.2
1250,182.88,78.0
1251,185.42,79.8
1252,152.4,82.1
1253,182.88,81.2
1254,154.94,78.0
1255,190.5,84.8
1256,193.04,82.1
1257,185.42,83.0
1258,185.42,77.1
1259,152.4,73.0
1260,152.4,73.0
1261,193.04,86.2
1262,182.88,86.2
1263,154.94,73.9
1264,185.42,73.9
1265,175.26,69.9
1266,185.42,82.1
1267,190.5,83.9
1268,152.4,73.9
1269,182.88,76.2
1270,154.94,77.1
1271,182.88,78.0
1272,182.88,79.8
1273,175.26,72.1
1274,154.94,79.8
1275,175.26,76.2
1276,185.42,74.8
1277,185.42,83.0
1278,185.42,77.1
1279,167.64,67.1
1280,175.26,63.0
1281,193.04,83.9
1282,154.94,76.2
1283,193.04,79.8
1284,182.88,84.8
1285,152.4,64.0
1286,187.96,78.0
1287,185.42,83.0
1288,170.18,68.9
1289,187.96,78.9
1290,175.26,67.1
1291,187.96,83.9
1292,190.5,79.8
1293,154.94,82.1
1294,154.94,79.8
1295,182.88,69.9
1296,190.5,84.8
1297,175.26,72.1
1298,175.26,68.0
1299,154.94,74.8
1300,182.88,74.8
1301,182.88,78.0
1302,182.88,81.2
1303,154.94,64.0
1304,172.72,72.1
1305,154.94,78.9
1306,182.88,77.1
1307,154.94,77.1
1308,190.5,84.8
1309,175.26,68.0
1310,187.96,74.8
1311,175.26,67.1
1312,193.04,88.0
1313,185.42,73.0
1314,154.94,74.8
1315,175.26,73.0
1316,190.5,79.8
1317,152.4,69.9
1318,172.72,68.0
1319,170.18,64.9
1320,182.88,79.8
1321,172.72,66.2
1322,152.4,73.0
1323,175.26,68.0
1324,172.72,69.9
1325,152.4,73.9
1326,187.96,83.9
1327,152.4,73.0
1328,182.88,77.1
1329,187.96,79.8
1330,170.18,64.9
1331,170.18,78.0
1332,182.88,81.2
1333,175.26,72.1
1334,152.4,73.9
1335,154.94,86.2
1336,152.4,69.9
1337,187.96,78.0
1338,172.72,68.0
1339,152.4,69.9
1340,190.5,79.8
1341,187.96,87.1
1342,182.88,77.1
1343,152.4,73.0
1344,152.4,72.1
1345,152.4,78.9
1346,182.88,81.2
1347,187.96,73.9
1348,175.26,69.9
1349,185.42,83.9
1350,154.94,79.8
1351,154.94,78.9
1352,190.5,79.8
1353,182.88,76.2
1354,165.1,62.1
1355,175.26,73.0
1356,187.96,79.8
1357,172.72,71.2
1358,187.96,88.0
1359,185.42,69.9
1360,190.5,98.0
